=== Rodada 1 | s=3 | T=200 | 200 repl. ===

-- Rep 1 (seed_tec=1382, seed_ts=1744) --
Cliente  |   Caixa   |   TEC    |    TS    |  Chegada   |  Início Serv. |  Fim Serv.  |  T. Fila  |  T. Sistema  |  T. Ocioso 
---------+-----------+----------+----------+------------+---------------+-------------+-----------+--------------+------------
   1     |     1     |  9.0534  | 34.3526  |   9.0534   |     9.0534    |   43.4061   |   0.0000  |   34.3526    |    9.0534  
   2     |     2     |  0.4836  |  7.2924  |   9.5370   |     9.5370    |   16.8294   |   0.0000  |    7.2924    |    9.5370  
   3     |     3     |  2.8003  |  2.0321  |  12.3374   |    12.3374    |   14.3695   |   0.0000  |    2.0321    |   12.3374  
   4     |     3     |  0.3145  |  0.9698  |  12.6519   |    14.3695    |   15.3393   |   1.7176  |    2.6874    |    0.0000  
   5     |     3     |  2.5153  | 15.3898  |  15.1672   |    15.3393    |   30.7291   |   0.1721  |   15.5619    |    0.0000  
   6     |     2     |  1.0163  |  1.1619  |  16.1835   |    16.8294    |   17.9913   |   0.6459  |    1.8077    |    0.0000  
   7     |     2     |  8.3133  | 24.6659  |  24.4969   |    24.4969    |   49.1628   |   0.0000  |   24.6659    |    6.5056  
   8     |     3     |  3.3106  |  0.4944  |  27.8074   |    30.7291    |   31.2235   |   2.9217  |    3.4161    |    0.0000  
   9     |     3     |  0.4774  |  2.9346  |  28.2849   |    31.2235    |   34.1581   |   2.9387  |    5.8733    |    0.0000  
   10    |     3     |  0.5872  | 18.0754  |  28.8720   |    34.1581    |   52.2335   |   5.2861  |   23.3615    |    0.0000  
   11    |     1     |  0.0003  |  1.5136  |  28.8723   |    43.4061    |   44.9196   |  14.5338  |   16.0473    |    0.0000  
   12    |     1     |  0.3644  |  1.1866  |  29.2367   |    44.9196    |   46.1062   |  15.6829  |   16.8695    |    0.0000  
   13    |     1     |  1.8623  | 12.7342  |  31.0990   |    46.1062    |   58.8404   |  15.0072  |   27.7414    |    0.0000  
   14    |     2     |  0.5004  |  9.7999  |  31.5993   |    49.1628    |   58.9627   |  17.5634  |   27.3633    |    0.0000  
   15    |     3     |  0.2466  | 11.5145  |  31.8460   |    52.2335    |   63.7480   |  20.3875  |   31.9020    |    0.0000  
   16    |     1     |  6.1728  |  1.8138  |  38.0187   |    58.8404    |   60.6543   |  20.8217  |   22.6355    |    0.0000  
   17    |     2     |  1.2756  |  5.7967  |  39.2944   |    58.9627    |   64.7594   |  19.6683  |   25.4650    |    0.0000  
   18    |     1     |  0.8960  |  6.8334  |  40.1904   |    60.6543    |   67.4876   |  20.4639  |   27.2972    |    0.0000  
   19    |     3     |  0.2547  |  3.1219  |  40.4451   |    63.7480    |   66.8699   |  23.3029  |   26.4248    |    0.0000  
   20    |     2     |  1.9565  |  4.4569  |  42.4016   |    64.7594    |   69.2162   |  22.3578  |   26.8147    |    0.0000  
   21    |     3     |  0.0700  | 18.7857  |  42.4715   |    66.8699    |   85.6556   |  24.3984  |   43.1841    |    0.0000  
   22    |     1     |  4.2424  |  2.5001  |  46.7139   |    67.4876    |   69.9877   |  20.7737  |   23.2737    |    0.0000  
   23    |     2     |  0.0698  | 13.9316  |  46.7837   |    69.2162    |   83.1479   |  22.4325  |   36.3642    |    0.0000  
   24    |     1     |  0.2941  |  3.0706  |  47.0778   |    69.9877    |   73.0583   |  22.9098  |   25.9805    |    0.0000  
   25    |     1     |  1.8194  |  2.6831  |  48.8972   |    73.0583    |   75.7415   |  24.1611  |   26.8442    |    0.0000  
   26    |     1     |  3.0689  |  0.2951  |  51.9662   |    75.7415    |   76.0365   |  23.7753  |   24.0704    |    0.0000  
   27    |     1     |  4.6977  |  7.5994  |  56.6639   |    76.0365    |   83.6359   |  19.3727  |   26.9721    |    0.0000  
   28    |     2     |  0.6681  |  6.6653  |  57.3320   |    83.1479    |   89.8132   |  25.8159  |   32.4812    |    0.0000  
   29    |     1     |  0.1862  |  5.4993  |  57.5182   |    83.6359    |   89.1352   |  26.1177  |   31.6170    |    0.0000  
   30    |     3     |  6.1844  |  1.0555  |  63.7026   |    85.6556    |   86.7111   |  21.9530  |   23.0085    |    0.0000  
   31    |     3     |  5.5170  |  4.0929  |  69.2196   |    86.7111    |   90.8040   |  17.4916  |   21.5845    |    0.0000  
   32    |     1     |  2.0562  | 10.3751  |  71.2757   |    89.1352    |   99.5103   |  17.8594  |   28.2345    |    0.0000  
   33    |     2     |  0.6849  |  2.6501  |  71.9606   |    89.8132    |   92.4633   |  17.8526  |   20.5026    |    0.0000  
   34    |     3     |  1.0352  |  2.0071  |  72.9958   |    90.8040    |   92.8111   |  17.8082  |   19.8153    |    0.0000  
   35    |     2     |  2.6548  |  2.5528  |  75.6506   |    92.4633    |   95.0160   |  16.8127  |   19.3654    |    0.0000  
   36    |     3     |  0.9570  |  6.5589  |  76.6076   |    92.8111    |   99.3700   |  16.2035  |   22.7624    |    0.0000  
