=== Rodada 1 | s=2 | T=200 | 200 repl. ===

-- Rep 1 (seed_tec=1382, seed_ts=1744) --
Cliente  |   Caixa   |   TEC    |    TS    |  Chegada   |  Início Serv. |  Fim Serv.  |  T. Fila  |  T. Sistema  |  T. Ocioso 
---------+-----------+----------+----------+------------+---------------+-------------+-----------+--------------+------------
   1     |     1     |  9.0534  | 34.3526  |   9.0534   |     9.0534    |   43.4061   |   0.0000  |   34.3526    |    9.0534  
   2     |     2     |  0.4836  |  7.2924  |   9.5370   |     9.5370    |   16.8294   |   0.0000  |    7.2924    |    9.5370  
   3     |     2     |  2.8003  |  2.0321  |  12.3374   |    16.8294    |   18.8615   |   4.4920  |    6.5241    |    0.0000  
   4     |     2     |  0.3145  |  0.9698  |  12.6519   |    18.8615    |   19.8313   |   6.2096  |    7.1795    |    0.0000  
   5     |     2     |  2.5153  | 15.3898  |  15.1672   |    19.8313    |   35.2211   |   4.6642  |   20.0539    |    0.0000  
   6     |     2     |  1.0163  |  1.1619  |  16.1835   |    35.2211    |   36.3830   |  19.0376  |   20.1995    |    0.0000  
   7     |     2     |  8.3133  | 24.6659  |  24.4969   |    36.3830    |   61.0489   |  11.8861  |   36.5520    |    0.0000  
   8     |     1     |  3.3106  |  0.4944  |  27.8074   |    43.4061    |   43.9005   |  15.5986  |   16.0931    |    0.0000  
   9     |     1     |  0.4774  |  2.9346  |  28.2849   |    43.9005    |   46.8351   |  15.6156  |   18.5502    |    0.0000  
   10    |     1     |  0.5872  | 18.0754  |  28.8720   |    46.8351    |   64.9105   |  17.9630  |   36.0384    |    0.0000  
   11    |     2     |  0.0003  |  1.5136  |  28.8723   |    61.0489    |   62.5625   |  32.1766  |   33.6902    |    0.0000  
   12    |     2     |  0.3644  |  1.1866  |  29.2367   |    62.5625    |   63.7491   |  33.3257  |   34.5123    |    0.0000  
   13    |     2     |  1.8623  | 12.7342  |  31.0990   |    63.7491    |   76.4833   |  32.6501  |   45.3843    |    0.0000  
   14    |     1     |  0.5004  |  9.7999  |  31.5993   |    64.9105    |   74.7104   |  33.3111  |   43.1110    |    0.0000  
   15    |     1     |  0.2466  | 11.5145  |  31.8460   |    74.7104    |   86.2249   |  42.8644  |   54.3789    |    0.0000  
   16    |     2     |  6.1728  |  1.8138  |  38.0187   |    76.4833    |   78.2971   |  38.4645  |   40.2783    |    0.0000  
   17    |     2     |  1.2756  |  5.7967  |  39.2944   |    78.2971    |   84.0938   |  39.0027  |   44.7994    |    0.0000  
   18    |     2     |  0.8960  |  6.8334  |  40.1904   |    84.0938    |   90.9271   |  43.9034  |   50.7367    |    0.0000  
   19    |     1     |  0.2547  |  3.1219  |  40.4451   |    86.2249    |   89.3468   |  45.7798  |   48.9017    |    0.0000  
   20    |     1     |  1.9565  |  4.4569  |  42.4016   |    89.3468    |   93.8037   |  46.9452  |   51.4021    |    0.0000  
   21    |     2     |  0.0700  | 18.7857  |  42.4715   |    90.9271    |   109.7128  |  48.4556  |   67.2413    |    0.0000  
   22    |     1     |  4.2424  |  2.5001  |  46.7139   |    93.8037    |   96.3037   |  47.0897  |   49.5898    |    0.0000  
   23    |     1     |  0.0698  | 13.9316  |  46.7837   |    96.3037    |   110.2354  |  49.5200  |   63.4517    |    0.0000  
   24    |     2     |  0.2941  |  3.0706  |  47.0778   |    109.7128   |   112.7835  |  62.6350  |   65.7057    |    0.0000  
   25    |     1     |  1.8194  |  2.6831  |  48.8972   |    110.2354   |   112.9185  |  61.3381  |   64.0213    |    0.0000  
   26    |     2     |  3.0689  |  0.2951  |  51.9662   |    112.7835   |   113.0786  |  60.8173  |   61.1124    |    0.0000  
   27    |     1     |  4.6977  |  7.5994  |  56.6639   |    112.9185   |   120.5179  |  56.2546  |   63.8540    |    0.0000  
   28    |     2     |  0.6681  |  6.6653  |  57.3320   |    113.0786   |   119.7439  |  55.7466  |   62.4119    |    0.0000  
   29    |     2     |  0.1862  |  5.4993  |  57.5182   |    119.7439   |   125.2432  |  62.2257  |   67.7250    |    0.0000  
   30    |     1     |  6.1844  |  1.0555  |  63.7026   |    120.5179   |   121.5734  |  56.8153  |   57.8708    |    0.0000  
   31    |     1     |  5.5170  |  4.0929  |  69.2196   |    121.5734   |   125.6663  |  52.3538  |   56.4467    |    0.0000  
   32    |     2     |  2.0562  | 10.3751  |  71.2757   |    125.2432   |   135.6183  |  53.9674  |   64.3425    |    0.0000  
   33    |     1     |  0.6849  |  2.6501  |  71.9606   |    125.6663   |   128.3164  |  53.7057  |   56.3557    |    0.0000  
   34    |     1     |  1.0352  |  2.0071  |  72.9958   |    128.3164   |   130.3234  |  55.3206  |   57.3276    |    0.0000  
   35    |     1     |  2.6548  |  2.5528  |  75.6506   |    130.3234   |   132.8762  |  54.6728  |   57.2256    |    0.0000  
   36    |     1     |  0.9570  |  6.5589  |  76.6076   |    132.8762   |   139.4351  |  56.2686  |   62.8275    |    0.0000  
