=== Rodada 2 | s=3 | T=200 | 200 repl. ===

-- Rep 1 (seed_tec=91, seed_ts=1565) --
Cliente  |   Caixa   |   TEC    |    TS    |  Chegada   |  Início Serv. |  Fim Serv.  |  T. Fila  |  T. Sistema  |  T. Ocioso 
---------+-----------+----------+----------+------------+---------------+-------------+-----------+--------------+------------
   1     |     1     | 14.4943  | 35.2190  |  14.4943   |    14.4943    |   49.7133   |   0.0000  |   35.2190    |   14.4943  
   2     |     2     |  0.0610  |  1.2379  |  14.5553   |    14.5553    |   15.7933   |   0.0000  |    1.2379    |   14.5553  
   3     |     3     |  0.5487  |  5.1957  |  15.1040   |    15.1040    |   20.2997   |   0.0000  |    5.1957    |   15.1040  
   4     |     2     |  0.6099  |  1.9116  |  15.7139   |    15.7933    |   17.7048   |   0.0794  |    1.9909    |    0.0000  
   5     |     2     |  1.4604  |  1.9802  |  17.1743   |    17.7048    |   19.6851   |   0.5306  |    2.5108    |    0.0000  
   6     |     2     |  0.1553  |  3.1904  |  17.3296   |    19.6851    |   22.8755   |   2.3555  |    5.5459    |    0.0000  
   7     |     3     |  2.5384  |  3.7623  |  19.8680   |    20.2997    |   24.0619   |   0.4317  |    4.1940    |    0.0000  
   8     |     2     |  0.5054  |  6.8777  |  20.3734   |    22.8755    |   29.7532   |   2.5021  |    9.3798    |    0.0000  
   9     |     3     |  0.4067  | 18.5112  |  20.7801   |    24.0619    |   42.5731   |   3.2818  |   21.7930    |    0.0000  
   10    |     2     |  5.7275  |  1.8415  |  26.5077   |    29.7532    |   31.5947   |   3.2455  |    5.0871    |    0.0000  
   11    |     2     |  0.2136  | 13.6851  |  26.7213   |    31.5947    |   45.2798   |   4.8734  |   18.5585    |    0.0000  
   12    |     3     |  2.6418  |  0.9627  |  29.3631   |    42.5731    |   43.5358   |  13.2100  |   14.1727    |    0.0000  
   13    |     3     |  0.9630  |  6.1989  |  30.3262   |    43.5358    |   49.7347   |  13.2096  |   19.4085    |    0.0000  
   14    |     2     |  3.8474  | 18.0035  |  34.1736   |    45.2798    |   63.2833   |  11.1062  |   29.1097    |    0.0000  
   15    |     1     |  0.2900  |  3.2342  |  34.4636   |    49.7133    |   52.9475   |  15.2496  |   18.4838    |    0.0000  
   16    |     3     |  3.1919  |  0.1551  |  37.6555   |    49.7347    |   49.8898   |  12.0792  |   12.2343    |    0.0000  
   17    |     3     |  5.1914  |  8.4264  |  42.8469   |    49.8898    |   58.3162   |   7.0429  |   15.4692    |    0.0000  
   18    |     1     |  0.7118  | 24.3491  |  43.5587   |    52.9475    |   77.2966   |   9.3888  |   33.7378    |    0.0000  
   19    |     3     |  0.2312  | 24.7215  |  43.7900   |    58.3162    |   83.0377   |  14.5262  |   39.2477    |    0.0000  
   20    |     2     |  4.9864  |  3.9793  |  48.7764   |    63.2833    |   67.2626   |  14.5069  |   18.4862    |    0.0000  
   21    |     2     |  0.0176  |  8.0508  |  48.7940   |    67.2626    |   75.3134   |  18.4686  |   26.5194    |    0.0000  
   22    |     2     |  1.4011  |  1.7922  |  50.1951   |    75.3134    |   77.1056   |  25.1183  |   26.9105    |    0.0000  
   23    |     2     |  1.0321  |  2.3180  |  51.2272   |    77.1056    |   79.4237   |  25.8784  |   28.1965    |    0.0000  
   24    |     1     |  0.8018  | 16.1324  |  52.0290   |    77.2966    |   93.4289   |  25.2676  |   41.3999    |    0.0000  
   25    |     2     | 13.4726  | 11.0526  |  65.5016   |    79.4237    |   90.4762   |  13.9221  |   24.9747    |    0.0000  
   26    |     3     |  0.1015  |  3.5262  |  65.6031   |    83.0377    |   86.5639   |  17.4346  |   20.9608    |    0.0000  
   27    |     3     |  1.9950  |  0.6232  |  67.5980   |    86.5639    |   87.1871   |  18.9658  |   19.5890    |    0.0000  
   28    |     3     |  1.3600  |  7.6741  |  68.9580   |    87.1871    |   94.8612   |  18.2291  |   25.9032    |    0.0000  
   29    |     2     |  0.3111  | 25.9549  |  69.2691   |    90.4762    |   116.4311  |  21.2071  |   47.1620    |    0.0000  
   30    |     1     |  0.4255  |  8.1006  |  69.6947   |    93.4289    |   101.5296  |  23.7343  |   31.8349    |    0.0000  
   31    |     3     |  0.3506  |  3.4205  |  70.0453   |    94.8612    |   98.2816   |  24.8159  |   28.2364    |    0.0000  
   32    |     3     |  2.0432  |  1.3955  |  72.0885   |    98.2816    |   99.6771   |  26.1932  |   27.5887    |    0.0000  
   33    |     3     |  0.2484  |  2.4204  |  72.3368   |    99.6771    |   102.0975  |  27.3403  |   29.7607    |    0.0000  
   34    |     1     |  2.2834  | 10.1278  |  74.6202   |    101.5296   |   111.6574  |  26.9093  |   37.0371    |    0.0000  
   35    |     3     |  0.0334  |  0.2590  |  74.6536   |    102.0975   |   102.3564  |  27.4439  |   27.7028    |    0.0000  
   36    |     3     |  0.2801  |  3.0084  |  74.9337   |    102.3564   |   105.3649  |  27.4227  |   30.4311    |    0.0000  
   37    |     3     |  1.1239  | 20.2702  |  76.0576   |    105.3649   |   125.6351  |  29.3073  |   49.5775    |    0.0000  
   38    |     1     |  0.3646  |  1.9630  |  76.4222   |    111.6574   |   113.6204  |  35.2352  |   37.1982    |    0.0000  
   39    |     1     |  3.3813  |  0.2148  |  79.8034   |    113.6204   |   113.8352  |  33.8170  |   34.0317    |    0.0000  
   40    |     1     |  2.8063  |  2.2481  |  82.6098   |    113.8352   |   116.0833  |  31.2254  |   33.4735    |    0.0000  
   41    |     1     |  1.4657  |  3.8779  |  84.0755   |    116.0833   |   119.9612  |  32.0078  |   35.8858    |    0.0000  
   42    |     2     |  1.7731  |  2.9546  |  85.8486   |    116.4311   |   119.3858  |  30.5826  |   33.5372    |    0.0000  
   43    |     2     |  0.5434  |  0.2972  |  86.3919   |    119.3858   |   119.6830  |  32.9938  |   33.2911    |    0.0000  
   44    |     2     |  1.1762  | 50.2044  |  87.5681   |    119.6830   |   169.8874  |  32.1149  |   82.3193    |    0.0000  
   45    |     1     |  2.4883  |  3.7400  |  90.0564   |    119.9612   |   123.7012  |  29.9048  |   33.6448    |    0.0000  
   46    |     1     |  0.9742  |  2.2652  |  91.0306   |    123.7012   |   125.9664  |  32.6706  |   34.9358    |    0.0000  
   47    |     3     |  1.4731  |  5.4129  |  92.5037   |    125.6351   |   131.0480  |  33.1314  |   38.5444    |    0.0000  
   48    |     1     |  1.3532  |  4.5440  |  93.8568   |    125.9664   |   130.5104  |  32.1095  |   36.6536    |    0.0000  
