=== Rodada 2 | s=2 | T=200 | 200 repl. ===

-- Rep 1 (seed_tec=91, seed_ts=1565) --
Cliente  |   Caixa   |   TEC    |    TS    |  Chegada   |  Início Serv. |  Fim Serv.  |  T. Fila  |  T. Sistema  |  T. Ocioso 
---------+-----------+----------+----------+------------+---------------+-------------+-----------+--------------+------------
   1     |     1     | 14.4943  | 35.2190  |  14.4943   |    14.4943    |   49.7133   |   0.0000  |   35.2190    |   14.4943  
   2     |     2     |  0.0610  |  1.2379  |  14.5553   |    14.5553    |   15.7933   |   0.0000  |    1.2379    |   14.5553  
   3     |     2     |  0.5487  |  5.1957  |  15.1040   |    15.7933    |   20.9889   |   0.6893  |    5.8849    |    0.0000  
   4     |     2     |  0.6099  |  1.9116  |  15.7139   |    20.9889    |   22.9005   |   5.2750  |    7.1866    |    0.0000  
   5     |     2     |  1.4604  |  1.9802  |  17.1743   |    22.9005    |   24.8807   |   5.7262  |    7.7065    |    0.0000  
   6     |     2     |  0.1553  |  3.1904  |  17.3296   |    24.8807    |   28.0711   |   7.5512  |   10.7415    |    0.0000  
   7     |     2     |  2.5384  |  3.7623  |  19.8680   |    28.0711    |   31.8334   |   8.2032  |   11.9654    |    0.0000  
   8     |     2     |  0.5054  |  6.8777  |  20.3734   |    31.8334    |   38.7111   |  11.4600  |   18.3378    |    0.0000  
   9     |     2     |  0.4067  | 18.5112  |  20.7801   |    38.7111    |   57.2223   |  17.9310  |   36.4422    |    0.0000  
   10    |     1     |  5.7275  |  1.8415  |  26.5077   |    49.7133    |   51.5548   |  23.2056  |   25.0471    |    0.0000  
   11    |     1     |  0.2136  | 13.6851  |  26.7213   |    51.5548    |   65.2399   |  24.8335  |   38.5186    |    0.0000  
   12    |     2     |  2.6418  |  0.9627  |  29.3631   |    57.2223    |   58.1850   |  27.8592  |   28.8219    |    0.0000  
   13    |     2     |  0.9630  |  6.1989  |  30.3262   |    58.1850    |   64.3839   |  27.8588  |   34.0577    |    0.0000  
   14    |     2     |  3.8474  | 18.0035  |  34.1736   |    64.3839    |   82.3874   |  30.2103  |   48.2138    |    0.0000  
   15    |     1     |  0.2900  |  3.2342  |  34.4636   |    65.2399    |   68.4741   |  30.7762  |   34.0104    |    0.0000  
   16    |     1     |  3.1919  |  0.1551  |  37.6555   |    68.4741    |   68.6292   |  30.8186  |   30.9736    |    0.0000  
   17    |     1     |  5.1914  |  8.4264  |  42.8469   |    68.6292    |   77.0555   |  25.7822  |   34.2086    |    0.0000  
   18    |     1     |  0.7118  | 24.3491  |  43.5587   |    77.0555    |   101.4046  |  33.4968  |   57.8459    |    0.0000  
   19    |     2     |  0.2312  | 24.7215  |  43.7900   |    82.3874    |   107.1089  |  38.5975  |   63.3190    |    0.0000  
   20    |     1     |  4.9864  |  3.9793  |  48.7764   |    101.4046   |   105.3839  |  52.6282  |   56.6075    |    0.0000  
   21    |     1     |  0.0176  |  8.0508  |  48.7940   |    105.3839   |   113.4347  |  56.5899  |   64.6407    |    0.0000  
   22    |     2     |  1.4011  |  1.7922  |  50.1951   |    107.1089   |   108.9011  |  56.9138  |   58.7060    |    0.0000  
   23    |     2     |  1.0321  |  2.3180  |  51.2272   |    108.9011   |   111.2192  |  57.6739  |   59.9920    |    0.0000  
   24    |     2     |  0.8018  | 16.1324  |  52.0290   |    111.2192   |   127.3516  |  59.1902  |   75.3226    |    0.0000  
   25    |     1     | 13.4726  | 11.0526  |  65.5016   |    113.4347   |   124.4873  |  47.9331  |   58.9857    |    0.0000  
   26    |     1     |  0.1015  |  3.5262  |  65.6031   |    124.4873   |   128.0135  |  58.8842  |   62.4104    |    0.0000  
   27    |     2     |  1.9950  |  0.6232  |  67.5980   |    127.3516   |   127.9748  |  59.7535  |   60.3767    |    0.0000  
   28    |     2     |  1.3600  |  7.6741  |  68.9580   |    127.9748   |   135.6489  |  59.0168  |   66.6909    |    0.0000  
   29    |     1     |  0.3111  | 25.9549  |  69.2691   |    128.0135   |   153.9684  |  58.7444  |   84.6993    |    0.0000  
   30    |     2     |  0.4255  |  8.1006  |  69.6947   |    135.6489   |   143.7495  |  65.9542  |   74.0549    |    0.0000  
   31    |     2     |  0.3506  |  3.4205  |  70.0453   |    143.7495   |   147.1700  |  73.7042  |   77.1247    |    0.0000  
   32    |     2     |  2.0432  |  1.3955  |  72.0885   |    147.1700   |   148.5654  |  75.0815  |   76.4770    |    0.0000  
   33    |     2     |  0.2484  |  2.4204  |  72.3368   |    148.5654   |   150.9858  |  76.2286  |   78.6490    |    0.0000  
   34    |     2     |  2.2834  | 10.1278  |  74.6202   |    150.9858   |   161.1136  |  76.3656  |   86.4934    |    0.0000  
   35    |     1     |  0.0334  |  0.2590  |  74.6536   |    153.9684   |   154.2273  |  79.3148  |   79.5737    |    0.0000  
   36    |     1     |  0.2801  |  3.0084  |  74.9337   |    154.2273   |   157.2358  |  79.2936  |   82.3021    |    0.0000  
   37    |     1     |  1.1239  | 20.2702  |  76.0576   |    157.2358   |   177.5060  |  81.1782  |   101.4484   |    0.0000  
   38    |     2     |  0.3646  |  1.9630  |  76.4222   |    161.1136   |   163.0766  |  84.6914  |   86.6545    |    0.0000  
   39    |     2     |  3.3813  |  0.2148  |  79.8034   |    163.0766   |   163.2914  |  83.2732  |   83.4880    |    0.0000  
   40    |     2     |  2.8063  |  2.2481  |  82.6098   |    163.2914   |   165.5395  |  80.6817  |   82.9297    |    0.0000  
   41    |     2     |  1.4657  |  3.8779  |  84.0755   |    165.5395   |   169.4174  |  81.4640  |   85.3420    |    0.0000  
   42    |     2     |  1.7731  |  2.9546  |  85.8486   |    169.4174   |   172.3721  |  83.5689  |   86.5235    |    0.0000  
   43    |     2     |  0.5434  |  0.2972  |  86.3919   |    172.3721   |   172.6693  |  85.9802  |   86.2774    |    0.0000  
   44    |     2     |  1.1762  | 50.2044  |  87.5681   |    172.6693   |   222.8737  |  85.1012  |   135.3056   |    0.0000  
   45    |     1     |  2.4883  |  3.7400  |  90.0564   |    177.5060   |   181.2460  |  87.4496  |   91.1896    |    0.0000  
   46    |     1     |  0.9742  |  2.2652  |  91.0306   |    181.2460   |   183.5112  |  90.2154  |   92.4806    |    0.0000  
   47    |     1     |  1.4731  |  5.4129  |  92.5037   |    183.5112   |   188.9241  |  91.0075  |   96.4204    |    0.0000  
   48    |     1     |  1.3532  |  4.5440  |  93.8568   |    188.9241   |   193.4681  |  95.0672  |   99.6113    |    0.0000  
