=== Rodada 5 | s=3 | T=200 | 200 repl. ===

-- Rep 1 (seed_tec=1153, seed_ts=604) --
Cliente  |   Caixa   |   TEC    |    TS    |  Chegada   |  Início Serv. |  Fim Serv.  |  T. Fila  |  T. Sistema  |  T. Ocioso 
---------+-----------+----------+----------+------------+---------------+-------------+-----------+--------------+------------
   1     |     1     |  9.4158  | 42.8355  |   9.4158   |     9.4158    |   52.2513   |   0.0000  |   42.8355    |    9.4158  
   2     |     2     |  0.8218  |  6.4090  |  10.2375   |    10.2375    |   16.6465   |   0.0000  |    6.4090    |   10.2375  
   3     |     3     |  3.0935  |  7.6233  |  13.3311   |    13.3311    |   20.9544   |   0.0000  |    7.6233    |   13.3311  
   4     |     2     |  0.3881  | 29.6142  |  13.7192   |    16.6465    |   46.2607   |   2.9273  |   32.5415    |    0.0000  
   5     |     3     |  2.5415  |  1.8715  |  16.2607   |    20.9544    |   22.8259   |   4.6937  |    6.5652    |    0.0000  
   6     |     3     |  1.5533  | 11.0473  |  17.8140   |    22.8259    |   33.8732   |   5.0119  |   16.0592    |    0.0000  
   7     |     3     |  2.8340  |  7.0368  |  20.6480   |    33.8732    |   40.9100   |  13.2252  |   20.2621    |    0.0000  
   8     |     3     |  0.6266  | 26.9834  |  21.2746   |    40.9100    |   67.8935   |  19.6354  |   46.6189    |    0.0000  
   9     |     2     |  2.9502  |  9.7654  |  24.2248   |    46.2607    |   56.0262   |  22.0359  |   31.8014    |    0.0000  
   10    |     1     |  0.7108  |  4.7174  |  24.9355   |    52.2513    |   56.9687   |  27.3157  |   32.0331    |    0.0000  
   11    |     2     |  3.4531  |  3.6298  |  28.3887   |    56.0262    |   59.6560   |  27.6375  |   31.2673    |    0.0000  
   12    |     1     |  0.2396  |  2.5453  |  28.6283   |    56.9687    |   59.5139   |  28.3403  |   30.8856    |    0.0000  
   13    |     1     |  4.5452  |  0.8157  |  33.1735   |    59.5139    |   60.3296   |  26.3404  |   27.1561    |    0.0000  
   14    |     2     |  0.2978  |  1.0085  |  33.4713   |    59.6560    |   60.6646   |  26.1847  |   27.1932    |    0.0000  
   15    |     1     |  0.8886  |  9.8802  |  34.3600   |    60.3296    |   70.2098   |  25.9696  |   35.8498    |    0.0000  
   16    |     2     |  0.5906  |  0.5042  |  34.9505   |    60.6646    |   61.1688   |  25.7140  |   26.2183    |    0.0000  
   17    |     2     |  0.3601  |  7.8631  |  35.3106   |    61.1688    |   69.0319   |  25.8582  |   33.7213    |    0.0000  
   18    |     3     |  0.2648  |  3.4499  |  35.5753   |    67.8935    |   71.3434   |  32.3181  |   35.7680    |    0.0000  
   19    |     2     |  5.0958  |  4.3158  |  40.6712   |    69.0319    |   73.3477   |  28.3607  |   32.6766    |    0.0000  
   20    |     1     |  5.3444  |  7.8956  |  46.0156   |    70.2098    |   78.1054   |  24.1942  |   32.0898    |    0.0000  
   21    |     3     |  2.0359  | 14.5846  |  48.0515   |    71.3434    |   85.9280   |  23.2919  |   37.8765    |    0.0000  
   22    |     2     |  0.3275  |  1.6787  |  48.3790   |    73.3477    |   75.0264   |  24.9687  |   26.6474    |    0.0000  
   23    |     2     |  4.8144  |  2.3884  |  53.1934   |    75.0264    |   77.4148   |  21.8330  |   24.2214    |    0.0000  
   24    |     2     |  0.4632  |  0.1319  |  53.6566   |    77.4148    |   77.5467   |  23.7582  |   23.8902    |    0.0000  
   25    |     2     |  0.9227  | 19.7395  |  54.5793   |    77.5467    |   97.2862   |  22.9675  |   42.7070    |    0.0000  
   26    |     1     |  1.1997  | 10.6248  |  55.7790   |    78.1054    |   88.7301   |  22.3263  |   32.9511    |    0.0000  
   27    |     3     |  6.6754  |  4.8295  |  62.4544   |    85.9280    |   90.7574   |  23.4736  |   28.3030    |    0.0000  
   28    |     1     |  0.0639  |  0.2680  |  62.5183   |    88.7301    |   88.9981   |  26.2118  |   26.4799    |    0.0000  
   29    |     1     |  0.8700  | 10.6662  |  63.3883   |    88.9981    |   99.6644   |  25.6098  |   36.2761    |    0.0000  
   30    |     3     |  1.4984  |  5.2450  |  64.8867   |    90.7574    |   96.0024   |  25.8708  |   31.1157    |    0.0000  
   31    |     3     |  1.0219  |  1.4543  |  65.9086   |    96.0024    |   97.4567   |  30.0938  |   31.5481    |    0.0000  
   32    |     2     |  0.4108  |  8.0057  |  66.3193   |    97.2862    |   105.2920  |  30.9669  |   38.9726    |    0.0000  
   33    |     3     |  0.9942  |  5.2067  |  67.3135   |    97.4567    |   102.6634  |  30.1432  |   35.3499    |    0.0000  
   34    |     1     |  0.6388  |  3.2210  |  67.9523   |    99.6644    |   102.8853  |  31.7121  |   34.9330    |    0.0000  
   35    |     3     |  0.7065  |  4.1743  |  68.6588   |    102.6634   |   106.8377  |  34.0046  |   38.1789    |    0.0000  
   36    |     1     |  1.5790  | 10.9800  |  70.2378   |    102.8853   |   113.8653  |  32.6475  |   43.6275    |    0.0000  
   37    |     2     |  1.6774  | 17.3939  |  71.9152   |    105.2920   |   122.6859  |  33.3767  |   50.7706    |    0.0000  
   38    |     3     |  3.9139  |  1.0963  |  75.8291   |    106.8377   |   107.9340  |  31.0086  |   32.1049    |    0.0000  
   39    |     3     |  0.8126  |  4.2676  |  76.6417   |    107.9340   |   112.2016  |  31.2923  |   35.5599    |    0.0000  
   40    |     3     |  2.8922  |  3.2691  |  79.5339   |    112.2016   |   115.4706  |  32.6677  |   35.9367    |    0.0000  
   41    |     1     |  0.3586  | 12.4287  |  79.8926   |    113.8653   |   126.2941  |  33.9728  |   46.4015    |    0.0000  
   42    |     3     |  0.2546  |  6.2057  |  80.1471   |    115.4706   |   121.6764  |  35.3235  |   41.5293    |    0.0000  
   43    |     3     |  2.9617  |  5.7579  |  83.1089   |    121.6764   |   127.4343  |  38.5675  |   44.3254    |    0.0000  
   44    |     2     |  0.9584  | 28.9178  |  84.0673   |    122.6859   |   151.6037  |  38.6186  |   67.5364    |    0.0000  
   45    |     1     |  3.2097  |  5.2743  |  87.2770   |    126.2941   |   131.5684  |  39.0171  |   44.2914    |    0.0000  
   46    |     3     |  0.4293  |  0.8227  |  87.7063   |    127.4343   |   128.2570  |  39.7280  |   40.5507    |    0.0000  
   47    |     3     |  2.5832  |  5.4281  |  90.2895   |    128.2570   |   133.6851  |  37.9675  |   43.3956    |    0.0000  
   48    |     1     |  5.3966  |  8.1045  |  95.6861   |    131.5684   |   139.6729  |  35.8822  |   43.9867    |    0.0000  
   49    |     3     |  1.6667  |  2.6634  |  97.3528   |    133.6851   |   136.3485  |  36.3323  |   38.9957    |    0.0000  
   50    |     3     |  3.4036  |  4.1874  |  100.7565  |    136.3485   |   140.5359  |  35.5921  |   39.7795    |    0.0000  
   51    |     1     |  0.5267  |  0.3029  |  101.2831  |    139.6729   |   139.9758  |  38.3897  |   38.6926    |    0.0000  
   52    |     1     |  0.3854  |  4.7829  |  101.6686  |    139.9758   |   144.7587  |  38.3072  |   43.0901    |    0.0000  
   53    |     3     |  3.7426  |  3.8792  |  105.4112  |    140.5359   |   144.4151  |  35.1247  |   39.0040    |    0.0000  
   54    |     3     |  0.0659  | 25.0375  |  105.4771  |    144.4151   |   169.4526  |  38.9381  |   63.9755    |    0.0000  
   55    |     1     |  2.9175  |  0.0317  |  108.3946  |    144.7587   |   144.7903  |  36.3640  |   36.3957    |    0.0000  
   56    |     1     |  0.0347  |  4.4921  |  108.4293  |    144.7903   |   149.2824  |  36.3610  |   40.8531    |    0.0000  
   57    |     1     |  0.0930  |  1.2392  |  108.5224  |    149.2824   |   150.5216  |  40.7600  |   41.9992    |    0.0000  
   58    |     1     |  0.0046  | 13.5253  |  108.5270  |    150.5216   |   164.0469  |  41.9946  |   55.5199    |    0.0000  
   59    |     2     |  2.2981  | 14.5764  |  110.8251  |    151.6037   |   166.1801  |  40.7786  |   55.3550    |    0.0000  
   60    |     1     |  0.3710  |  4.3460  |  111.1961  |    164.0469   |   168.3930  |  52.8508  |   57.1969    |    0.0000  
   61    |     2     |  5.4663  |  7.1237  |  116.6624  |    166.1801   |   173.3038  |  49.5177  |   56.6414    |    0.0000  
   62    |     1     |  0.6712  |  2.4977  |  117.3336  |    168.3930   |   170.8906  |  51.0594  |   53.5570    |    0.0000  
   63    |     3     |  2.5131  |  1.3915  |  119.8467  |    169.4526   |   170.8441  |  49.6059  |   50.9975    |    0.0000  
   64    |     3     |  0.3369  |  2.9004  |  120.1836  |    170.8441   |   173.7446  |  50.6606  |   53.5610    |    0.0000  
   65    |     1     |  1.0271  |  0.5648  |  121.2107  |    170.8906   |   171.4554  |  49.6799  |   50.2447    |    0.0000  
   66    |     1     |  1.1771  |  8.1307  |  122.3879  |    171.4554   |   179.5861  |  49.0676  |   57.1983    |    0.0000  
   67    |     2     |  0.2909  |  2.2878  |  122.6788  |    173.3038   |   175.5915  |  50.6249  |   52.9127    |    0.0000  
   68    |     3     |  0.9722  |  1.7585  |  123.6510  |    173.7446   |   175.5031  |  50.0936  |   51.8521    |    0.0000  
   69    |     3     |  0.5171  |  6.3951  |  124.1681  |    175.5031   |   181.8981  |  51.3350  |   57.7301    |    0.0000  
   70    |     2     |  6.8418  |  4.8640  |  131.0098  |    175.5915   |   180.4555  |  44.5817  |   49.4457    |    0.0000  
   71    |     1     |  2.3086  |  6.8062  |  133.3184  |    179.5861   |   186.3923  |  46.2677  |   53.0739    |    0.0000  
   72    |     2     |  0.1757  | 30.5857  |  133.4941  |    180.4555   |   211.0412  |  46.9614  |   77.5471    |    0.0000  
   73    |     3     |  1.4876  |  8.2310  |  134.9817  |    181.8981   |   190.1292  |  46.9165  |   55.1475    |    0.0000  
   74    |     1     |  0.9193  |  0.4463  |  135.9009  |    186.3923   |   186.8386  |  50.4914  |   50.9377    |    0.0000  
   75    |     1     |  0.4494  |  0.2649  |  136.3504  |    186.8386   |   187.1036  |  50.4883  |   50.7532    |    0.0000  
   76    |     1     |  1.3623  |  5.1506  |  137.7127  |    187.1036   |   192.2542  |  49.3909  |   54.5415    |    0.0000  
   77    |     3     |  0.1028  |  8.3554  |  137.8155  |    190.1292   |   198.4846  |  52.3137  |   60.6691    |    0.0000  
   78    |     1     |  0.5838  | 11.0672  |  138.3993  |    192.2542   |   203.3213  |  53.8549  |   64.9220    |    0.0000  
   79    |     3     |  7.3036  |  0.3716  |  145.7029  |    198.4846   |   198.8562  |  52.7817  |   53.1533    |    0.0000  
   80    |     3     |  6.1651  | 12.7349  |  151.8680  |    198.8562   |   211.5911  |  46.9882  |   59.7231    |    0.0000  
   81    |     1     |  1.4959  | 51.2590  |  153.3639  |    203.3213   |   254.5803  |  49.9575  |   101.2165   |    0.0000  
   82    |     2     |  1.2093  |  2.6204  |  154.5731  |    211.0412   |   213.6616  |  56.4681  |   59.0885    |    0.0000  
   83    |     3     |  2.4384  |  4.3016  |  157.0116  |    211.5911   |   215.8927  |  54.5795  |   58.8811    |    0.0000  
   84    |     2     |  0.4741  |  1.5196  |  157.4856  |    213.6616   |   215.1812  |  56.1760  |   57.6956    |    0.0000  
   85    |     2     |  4.8395  |  6.9159  |  162.3252  |    215.1812   |   222.0971  |  52.8561  |   59.7720    |    0.0000  
   86    |     3     |  0.2934  | 11.2773  |  162.6185  |    215.8927   |   227.1700  |  53.2741  |   64.5515    |    0.0000  
   87    |     2     |  0.2857  |  3.0899  |  162.9043  |    222.0971   |   225.1870  |  59.1928  |   62.2828    |    0.0000  
   88    |     2     |  1.8324  | 15.2387  |  164.7367  |    225.1870   |   240.4257  |  60.4504  |   75.6890    |    0.0000  
   89    |     3     |  1.9620  |  3.1733  |  166.6987  |    227.1700   |   230.3433  |  60.4713  |   63.6446    |    0.0000  
   90    |     3     |  1.2934  |  2.8807  |  167.9921  |    230.3433   |   233.2240  |  62.3512  |   65.2319    |    0.0000  
   91    |     3     |  0.2700  |  1.3029  |  168.2622  |    233.2240   |   234.5269  |  64.9618  |   66.2648    |    0.0000  
   92    |     3     |  3.3313  | 31.9693  |  171.5934  |    234.5269   |   266.4963  |  62.9335  |   94.9028    |    0.0000  
   93    |     2     |  0.6554  | 34.6144  |  172.2488  |    240.4257   |   275.0401  |  68.1769  |   102.7913   |    0.0000  
   94    |     1     |  0.4349  | 32.4489  |  172.6837  |    254.5803   |   287.0292  |  81.8966  |   114.3455   |    0.0000  
   95    |     3     |  1.1813  | 27.3866  |  173.8650  |    266.4963   |   293.8829  |  92.6312  |   120.0178   |    0.0000  
   96    |     2     |  1.7506  |  0.2201  |  175.6156  |    275.0401   |   275.2602  |  99.4245  |   99.6446    |    0.0000  
   97    |     2     |  4.0939  |  0.8715  |  179.7095  |    275.2602   |   276.1317  |  95.5507  |   96.4222    |    0.0000  
   98    |     2     |  2.6806  | 10.4031  |  182.3901  |    276.1317   |   286.5348  |  93.7416  |   104.1447   |    0.0000  
   99    |     2     |  1.2971  |  3.2321  |  183.6872  |    286.5348   |   289.7669  |  102.8476 |   106.0798   |    0.0000  
  100    |     1     |  0.1026  |  0.8576  |  183.7898  |    287.0292   |   287.8868  |  103.2395 |   104.0971   |    0.0000  
  101    |     1     |  1.3409  |  5.0549  |  185.1307  |    287.8868   |   292.9417  |  102.7562 |   107.8111   |    0.0000  
  102    |     2     |  1.3517  |  3.7974  |  186.4823  |    289.7669   |   293.5643  |  103.2846 |   107.0820   |    0.0000  
  103    |     1     |  3.7175  |  5.9341  |  190.1999  |    292.9417   |   298.8758  |  102.7418 |   108.6760   |    0.0000  
  104    |     2     |  0.9826  |  2.7407  |  191.1824  |    293.5643   |   296.3050  |  102.3819 |   105.1225   |    0.0000  
  105    |     3     |  2.8615  |  1.3297  |  194.0439  |    293.8829   |   295.2126  |  99.8390  |   101.1687   |    0.0000  
  106    |     3     |  4.2742  | 10.1979  |  198.3181  |    295.2126   |   305.4104  |  96.8945  |   107.0923   |    0.0000  

  Clientes simulados:       106
  Tempo médio na fila:      44.5907
  Tempo médio de serviço:   8.1850
  Tempo médio no sistema:   52.7757
  Tempo médio ocioso:       0.3112
    caixa 1 — ocioso acum.: 9.4158
    caixa 2 — ocioso acum.: 10.2375
    caixa 3 — ocioso acum.: 13.3311

-- Rep 2 (seed_tec=1168, seed_ts=440) --
Cliente  |   Caixa   |   TEC    |    TS    |  Chegada   |  Início Serv. |  Fim Serv.  |  T. Fila  |  T. Sistema  |  T. Ocioso 
---------+-----------+----------+----------+------------+---------------+-------------+-----------+--------------+------------
   1     |     1     |  9.3899  | 45.3699  |   9.3899   |     9.3899    |   54.7598   |   0.0000  |   45.3699    |    9.3899  
   2     |     2     |  0.9047  |  1.0534  |  10.2946   |    10.2946    |   11.3480   |   0.0000  |    1.0534    |   10.2946  
   3     |     3     |  1.2066  |  6.1027  |  11.5012   |    11.5012    |   17.6039   |   0.0000  |    6.1027    |   11.5012  
   4     |     2     |  0.7038  |  1.7248  |  12.2050   |    12.2050    |   13.9298   |   0.0000  |    1.7248    |    0.8570  
   5     |     2     |  2.6029  |  6.9861  |  14.8079   |    14.8079    |   21.7940   |   0.0000  |    6.9861    |    0.8781  
   6     |     3     |  0.5905  |  8.5826  |  15.3984   |    17.6039    |   26.1864   |   2.2054  |   10.7880    |    0.0000  
   7     |     2     |  0.1066  |  2.8576  |  15.5050   |    21.7940    |   24.6516   |   6.2890  |    9.1467    |    0.0000  
   8     |     2     |  0.1799  |  2.8480  |  15.6849   |    24.6516    |   27.4996   |   8.9668  |   11.8148    |    0.0000  
   9     |     3     |  1.7436  |  0.9285  |  17.4284   |    26.1864    |   27.1149   |   8.7580  |    9.6865    |    0.0000  
   10    |     3     |  0.6534  | 10.6280  |  18.0818   |    27.1149    |   37.7429   |   9.0331  |   19.6611    |    0.0000  
   11    |     2     |  0.1442  |  2.3990  |  18.2261   |    27.4996    |   29.8986   |   9.2736  |   11.6725    |    0.0000  
   12    |     2     |  0.7763  |  4.8822  |  19.0023   |    29.8986    |   34.7807   |  10.8963  |   15.7784    |    0.0000  
   13    |     2     |  1.1329  |  3.7632  |  20.1353   |    34.7807    |   38.5439   |  14.6455  |   18.4087    |    0.0000  
   14    |     3     |  1.9340  | 12.4196  |  22.0693   |    37.7429    |   50.1625   |  15.6737  |   28.0933    |    0.0000  
   15    |     2     |  1.6275  |  5.1836  |  23.6968   |    38.5439    |   43.7275   |  14.8472  |   20.0307    |    0.0000  
   16    |     2     |  0.7426  | 21.4960  |  24.4394   |    43.7275    |   65.2235   |  19.2881  |   40.7841    |    0.0000  
   17    |     3     |  0.2052  |  9.4804  |  24.6446   |    50.1625    |   59.6430   |  25.5179  |   34.9984    |    0.0000  
   18    |     1     |  0.0171  |  7.5905  |  24.6617   |    54.7598    |   62.3503   |  30.0981  |   37.6886    |    0.0000  
   19    |     3     |  0.3739  |  2.8205  |  25.0356   |    59.6430    |   62.4635   |  34.6074  |   37.4278    |    0.0000  
   20    |     1     |  5.2696  |  7.1214  |  30.3052   |    62.3503    |   69.4717   |  32.0451  |   39.1664    |    0.0000  
   21    |     3     |  0.9444  |  2.9242  |  31.2497   |    62.4635    |   65.3877   |  31.2138  |   34.1380    |    0.0000  
   22    |     2     |  3.7872  | 13.7187  |  35.0369   |    65.2235    |   78.9422   |  30.1866  |   43.9053    |    0.0000  
   23    |     3     |  0.1565  | 15.1918  |  35.1934   |    65.3877    |   80.5795   |  30.1943  |   45.3861    |    0.0000  
   24    |     1     |  0.5758  |  7.4908  |  35.7692   |    69.4717    |   76.9625   |  33.7024  |   41.1932    |    0.0000  
   25    |     1     |  2.2607  |  9.2814  |  38.0299   |    76.9625    |   86.2438   |  38.9326  |   48.2139    |    0.0000  
   26    |     2     |  1.5846  |  1.3128  |  39.6144   |    78.9422    |   80.2549   |  39.3277  |   40.6405    |    0.0000  
   27    |     2     |  1.7590  |  6.1335  |  41.3734   |    80.2549    |   86.3884   |  38.8815  |   45.0149    |    0.0000  
   28    |     3     |  0.5037  |  2.5799  |  41.8772   |    80.5795    |   83.1594   |  38.7023  |   41.2822    |    0.0000  
   29    |     3     |  0.2393  | 25.8078  |  42.1164   |    83.1594    |   108.9672  |  41.0430  |   66.8508    |    0.0000  
   30    |     1     |  0.0189  |  5.1722  |  42.1353   |    86.2438    |   91.4161   |  44.1085  |   49.2808    |    0.0000  
   31    |     2     |  2.7351  |  4.9122  |  44.8704   |    86.3884    |   91.3006   |  41.5180  |   46.4302    |    0.0000  
   32    |     2     |  2.7942  |  8.0162  |  47.6646   |    91.3006    |   99.3168   |  43.6360  |   51.6522    |    0.0000  
   33    |     1     |  1.2136  |  5.8831  |  48.8782   |    91.4161    |   97.2992   |  42.5379  |   48.4210    |    0.0000  
   34    |     1     |  1.6486  |  0.9829  |  50.5268   |    97.2992    |   98.2821   |  46.7725  |   47.7553    |    0.0000  
   35    |     1     |  0.5924  |  1.0588  |  51.1191   |    98.2821    |   99.3409   |  47.1630  |   48.2218    |    0.0000  
   36    |     2     |  1.9480  |  6.8819  |  53.0671   |    99.3168    |   106.1987  |  46.2497  |   53.1316    |    0.0000  
   37    |     1     |  0.1628  |  8.1517  |  53.2299   |    99.3409    |   107.4926  |  46.1111  |   54.2628    |    0.0000  
   38    |     2     |  1.4371  |  1.5816  |  54.6670   |    106.1987   |   107.7803  |  51.5317  |   53.1133    |    0.0000  
   39    |     1     |  1.2635  | 22.9953  |  55.9305   |    107.4926   |   130.4879  |  51.5621  |   74.5574    |    0.0000  
   40    |     2     |  0.6694  |  2.3120  |  56.5998   |    107.7803   |   110.0923  |  51.1805  |   53.4925    |    0.0000  
