=== Rodada 5 | s=4 | T=200 | 200 repl. ===

-- Rep 1 (seed_tec=1153, seed_ts=604) --
Cliente  |   Caixa   |   TEC    |    TS    |  Chegada   |  Início Serv. |  Fim Serv.  |  T. Fila  |  T. Sistema  |  T. Ocioso 
---------+-----------+----------+----------+------------+---------------+-------------+-----------+--------------+------------
   1     |     1     |  9.4158  | 42.8355  |   9.4158   |     9.4158    |   52.2513   |   0.0000  |   42.8355    |    9.4158  
   2     |     2     |  0.8218  |  6.4090  |  10.2375   |    10.2375    |   16.6465   |   0.0000  |    6.4090    |   10.2375  
   3     |     3     |  3.0935  |  7.6233  |  13.3311   |    13.3311    |   20.9544   |   0.0000  |    7.6233    |   13.3311  
   4     |     4     |  0.3881  | 29.6142  |  13.7192   |    13.7192    |   43.3334   |   0.0000  |   29.6142    |   13.7192  
   5     |     2     |  2.5415  |  1.8715  |  16.2607   |    16.6465    |   18.5180   |   0.3859  |    2.2574    |    0.0000  
   6     |     2     |  1.5533  | 11.0473  |  17.8140   |    18.5180    |   29.5653   |   0.7041  |   11.7514    |    0.0000  
   7     |     3     |  2.8340  |  7.0368  |  20.6480   |    20.9544    |   27.9912   |   0.3064  |    7.3432    |    0.0000  
   8     |     3     |  0.6266  | 26.9834  |  21.2746   |    27.9912    |   54.9746   |   6.7166  |   33.7001    |    0.0000  
   9     |     2     |  2.9502  |  9.7654  |  24.2248   |    29.5653    |   39.3308   |   5.3406  |   15.1060    |    0.0000  
   10    |     2     |  0.7108  |  4.7174  |  24.9355   |    39.3308    |   44.0482   |  14.3953  |   19.1126    |    0.0000  
   11    |     4     |  3.4531  |  3.6298  |  28.3887   |    43.3334    |   46.9632   |  14.9447  |   18.5746    |    0.0000  
   12    |     2     |  0.2396  |  2.5453  |  28.6283   |    44.0482    |   46.5934   |  15.4199  |   17.9651    |    0.0000  
   13    |     2     |  4.5452  |  0.8157  |  33.1735   |    46.5934    |   47.4091   |  13.4199  |   14.2356    |    0.0000  
   14    |     4     |  0.2978  |  1.0085  |  33.4713   |    46.9632    |   47.9718   |  13.4919  |   14.5004    |    0.0000  
   15    |     2     |  0.8886  |  9.8802  |  34.3600   |    47.4091    |   57.2893   |  13.0491  |   22.9293    |    0.0000  
   16    |     4     |  0.5906  |  0.5042  |  34.9505   |    47.9718    |   48.4760   |  13.0212  |   13.5255    |    0.0000  
   17    |     4     |  0.3601  |  7.8631  |  35.3106   |    48.4760    |   56.3391   |  13.1654  |   21.0285    |    0.0000  
   18    |     1     |  0.2648  |  3.4499  |  35.5753   |    52.2513    |   55.7012   |  16.6759  |   20.1258    |    0.0000  
   19    |     3     |  5.0958  |  4.3158  |  40.6712   |    54.9746    |   59.2905   |  14.3035  |   18.6193    |    0.0000  
   20    |     1     |  5.3444  |  7.8956  |  46.0156   |    55.7012    |   63.5968   |   9.6856  |   17.5812    |    0.0000  
   21    |     4     |  2.0359  | 14.5846  |  48.0515   |    56.3391    |   70.9237   |   8.2876  |   22.8722    |    0.0000  
   22    |     2     |  0.3275  |  1.6787  |  48.3790   |    57.2893    |   58.9679   |   8.9102  |   10.5889    |    0.0000  
   23    |     2     |  4.8144  |  2.3884  |  53.1934   |    58.9679    |   61.3564   |   5.7746  |    8.1630    |    0.0000  
   24    |     3     |  0.4632  |  0.1319  |  53.6566   |    59.2905    |   59.4224   |   5.6339  |    5.7658    |    0.0000  
   25    |     3     |  0.9227  | 19.7395  |  54.5793   |    59.4224    |   79.1619   |   4.8431  |   24.5826    |    0.0000  
   26    |     2     |  1.1997  | 10.6248  |  55.7790   |    61.3564    |   71.9811   |   5.5773  |   16.2021    |    0.0000  
   27    |     1     |  6.6754  |  4.8295  |  62.4544   |    63.5968    |   68.4263   |   1.1424  |    5.9719    |    0.0000  
   28    |     1     |  0.0639  |  0.2680  |  62.5183   |    68.4263    |   68.6943   |   5.9080  |    6.1760    |    0.0000  
   29    |     1     |  0.8700  | 10.6662  |  63.3883   |    68.6943    |   79.3605   |   5.3060  |   15.9722    |    0.0000  
   30    |     4     |  1.4984  |  5.2450  |  64.8867   |    70.9237    |   76.1687   |   6.0370  |   11.2820    |    0.0000  
   31    |     2     |  1.0219  |  1.4543  |  65.9086   |    71.9811    |   73.4354   |   6.0725  |    7.5268    |    0.0000  
   32    |     2     |  0.4108  |  8.0057  |  66.3193   |    73.4354    |   81.4411   |   7.1160  |   15.1218    |    0.0000  
   33    |     4     |  0.9942  |  5.2067  |  67.3135   |    76.1687    |   81.3754   |   8.8552  |   14.0619    |    0.0000  
   34    |     3     |  0.6388  |  3.2210  |  67.9523   |    79.1619    |   82.3829   |  11.2096  |   14.4306    |    0.0000  
   35    |     1     |  0.7065  |  4.1743  |  68.6588   |    79.3605    |   83.5348   |  10.7017  |   14.8760    |    0.0000  
   36    |     4     |  1.5790  | 10.9800  |  70.2378   |    81.3754    |   92.3554   |  11.1376  |   22.1176    |    0.0000  
   37    |     2     |  1.6774  | 17.3939  |  71.9152   |    81.4411    |   98.8350   |   9.5259  |   26.9198    |    0.0000  
   38    |     3     |  3.9139  |  1.0963  |  75.8291   |    82.3829    |   83.4792   |   6.5538  |    7.6501    |    0.0000  
   39    |     3     |  0.8126  |  4.2676  |  76.6417   |    83.4792    |   87.7468   |   6.8375  |   11.1050    |    0.0000  
   40    |     1     |  2.8922  |  3.2691  |  79.5339   |    83.5348    |   86.8039   |   4.0009  |    7.2700    |    0.0000  
   41    |     1     |  0.3586  | 12.4287  |  79.8926   |    86.8039    |   99.2326   |   6.9113  |   19.3400    |    0.0000  
   42    |     3     |  0.2546  |  6.2057  |  80.1471   |    87.7468    |   93.9525   |   7.5996  |   13.8054    |    0.0000  
   43    |     4     |  2.9617  |  5.7579  |  83.1089   |    92.3554    |   98.1132   |   9.2465  |   15.0044    |    0.0000  
   44    |     3     |  0.9584  | 28.9178  |  84.0673   |    93.9525    |   122.8703  |   9.8852  |   38.8030    |    0.0000  
   45    |     4     |  3.2097  |  5.2743  |  87.2770   |    98.1132    |   103.3876  |  10.8363  |   16.1106    |    0.0000  
   46    |     2     |  0.4293  |  0.8227  |  87.7063   |    98.8350    |   99.6577   |  11.1287  |   11.9514    |    0.0000  
   47    |     1     |  2.5832  |  5.4281  |  90.2895   |    99.2326    |   104.6607  |   8.9431  |   14.3712    |    0.0000  
   48    |     2     |  5.3966  |  8.1045  |  95.6861   |    99.6577    |   107.7622  |   3.9716  |   12.0761    |    0.0000  
   49    |     4     |  1.6667  |  2.6634  |  97.3528   |    103.3876   |   106.0510  |   6.0347  |    8.6982    |    0.0000  
   50    |     1     |  3.4036  |  4.1874  |  100.7565  |    104.6607   |   108.8481  |   3.9043  |    8.0917    |    0.0000  
   51    |     4     |  0.5267  |  0.3029  |  101.2831  |    106.0510   |   106.3539  |   4.7679  |    5.0708    |    0.0000  
   52    |     4     |  0.3854  |  4.7829  |  101.6686  |    106.3539   |   111.1368  |   4.6853  |    9.4682    |    0.0000  
   53    |     2     |  3.7426  |  3.8792  |  105.4112  |    107.7622   |   111.6414  |   2.3510  |    6.2302    |    0.0000  
   54    |     1     |  0.0659  | 25.0375  |  105.4771  |    108.8481   |   133.8856  |   3.3710  |   28.4085    |    0.0000  
   55    |     4     |  2.9175  |  0.0317  |  108.3946  |    111.1368   |   111.1685  |   2.7422  |    2.7739    |    0.0000  
   56    |     4     |  0.0347  |  4.4921  |  108.4293  |    111.1685   |   115.6605  |   2.7392  |    7.2312    |    0.0000  
   57    |     2     |  0.0930  |  1.2392  |  108.5224  |    111.6414   |   112.8806  |   3.1190  |    4.3583    |    0.0000  
   58    |     2     |  0.0046  | 13.5253  |  108.5270  |    112.8806   |   126.4059  |   4.3536  |   17.8790    |    0.0000  
   59    |     4     |  2.2981  | 14.5764  |  110.8251  |    115.6605   |   130.2370  |   4.8355  |   19.4119    |    0.0000  
   60    |     3     |  0.3710  |  4.3460  |  111.1961  |    122.8703   |   127.2164  |  11.6742  |   16.0203    |    0.0000  
   61    |     2     |  5.4663  |  7.1237  |  116.6624  |    126.4059   |   133.5296  |   9.7436  |   16.8672    |    0.0000  
   62    |     3     |  0.6712  |  2.4977  |  117.3336  |    127.2164   |   129.7140  |   9.8828  |   12.3804    |    0.0000  
   63    |     3     |  2.5131  |  1.3915  |  119.8467  |    129.7140   |   131.1056  |   9.8673  |   11.2589    |    0.0000  
   64    |     4     |  0.3369  |  2.9004  |  120.1836  |    130.2370   |   133.1374  |  10.0534  |   12.9538    |    0.0000  
   65    |     3     |  1.0271  |  0.5648  |  121.2107  |    131.1056   |   131.6704  |   9.8948  |   10.4596    |    0.0000  
   66    |     3     |  1.1771  |  8.1307  |  122.3879  |    131.6704   |   139.8011  |   9.2825  |   17.4132    |    0.0000  
   67    |     4     |  0.2909  |  2.2878  |  122.6788  |    133.1374   |   135.4252  |  10.4586  |   12.7464    |    0.0000  
   68    |     2     |  0.9722  |  1.7585  |  123.6510  |    133.5296   |   135.2881  |   9.8786  |   11.6371    |    0.0000  
   69    |     1     |  0.5171  |  6.3951  |  124.1681  |    133.8856   |   140.2807  |   9.7176  |   16.1126    |    0.0000  
   70    |     2     |  6.8418  |  4.8640  |  131.0098  |    135.2881   |   140.1521  |   4.2783  |    9.1422    |    0.0000  
   71    |     4     |  2.3086  |  6.8062  |  133.3184  |    135.4252   |   142.2314  |   2.1068  |    8.9130    |    0.0000  
   72    |     3     |  0.1757  | 30.5857  |  133.4941  |    139.8011   |   170.3868  |   6.3070  |   36.8927    |    0.0000  
   73    |     2     |  1.4876  |  8.2310  |  134.9817  |    140.1521   |   148.3831  |   5.1704  |   13.4014    |    0.0000  
   74    |     1     |  0.9193  |  0.4463  |  135.9009  |    140.2807   |   140.7270  |   4.3797  |    4.8261    |    0.0000  
   75    |     1     |  0.4494  |  0.2649  |  136.3504  |    140.7270   |   140.9919  |   4.3766  |    4.6416    |    0.0000  
   76    |     1     |  1.3623  |  5.1506  |  137.7127  |    140.9919   |   146.1426  |   3.2793  |    8.4299    |    0.0000  
   77    |     4     |  0.1028  |  8.3554  |  137.8155  |    142.2314   |   150.5868  |   4.4159  |   12.7713    |    0.0000  
   78    |     1     |  0.5838  | 11.0672  |  138.3993  |    146.1426   |   157.2097  |   7.7432  |   18.8104    |    0.0000  
   79    |     2     |  7.3036  |  0.3716  |  145.7029  |    148.3831   |   148.7547  |   2.6802  |    3.0518    |    0.0000  
   80    |     2     |  6.1651  | 12.7349  |  151.8680  |    151.8680   |   164.6029  |   0.0000  |   12.7349    |    3.1133  
   81    |     4     |  1.4959  | 51.2590  |  153.3639  |    153.3639   |   204.6228  |   0.0000  |   51.2590    |    2.7771  
   82    |     1     |  1.2093  |  2.6204  |  154.5731  |    157.2097   |   159.8301  |   2.6366  |    5.2570    |    0.0000  
   83    |     1     |  2.4384  |  4.3016  |  157.0116  |    159.8301   |   164.1317  |   2.8185  |    7.1201    |    0.0000  
   84    |     1     |  0.4741  |  1.5196  |  157.4856  |    164.1317   |   165.6513  |   6.6461  |    8.1656    |    0.0000  
   85    |     2     |  4.8395  |  6.9159  |  162.3252  |    164.6029   |   171.5188  |   2.2777  |    9.1936    |    0.0000  
   86    |     1     |  0.2934  | 11.2773  |  162.6185  |    165.6513   |   176.9286  |   3.0327  |   14.3101    |    0.0000  
   87    |     3     |  0.2857  |  3.0899  |  162.9043  |    170.3868   |   173.4767  |   7.4825  |   10.5724    |    0.0000  
   88    |     2     |  1.8324  | 15.2387  |  164.7367  |    171.5188   |   186.7575  |   6.7821  |   22.0208    |    0.0000  
   89    |     3     |  1.9620  |  3.1733  |  166.6987  |    173.4767   |   176.6500  |   6.7780  |    9.9513    |    0.0000  
   90    |     3     |  1.2934  |  2.8807  |  167.9921  |    176.6500   |   179.5307  |   8.6579  |   11.5386    |    0.0000  
   91    |     1     |  0.2700  |  1.3029  |  168.2622  |    176.9286   |   178.2315  |   8.6664  |    9.9694    |    0.0000  
   92    |     1     |  3.3313  | 31.9693  |  171.5934  |    178.2315   |   210.2009  |   6.6381  |   38.6074    |    0.0000  
   93    |     3     |  0.6554  | 34.6144  |  172.2488  |    179.5307   |   214.1451  |   7.2819  |   41.8962    |    0.0000  
   94    |     2     |  0.4349  | 32.4489  |  172.6837  |    186.7575   |   219.2064  |  14.0738  |   46.5227    |    0.0000  
   95    |     4     |  1.1813  | 27.3866  |  173.8650  |    204.6228   |   232.0094  |  30.7578  |   58.1444    |    0.0000  
   96    |     1     |  1.7506  |  0.2201  |  175.6156  |    210.2009   |   210.4210  |  34.5852  |   34.8053    |    0.0000  
   97    |     1     |  4.0939  |  0.8715  |  179.7095  |    210.4210   |   211.2925  |  30.7114  |   31.5830    |    0.0000  
   98    |     1     |  2.6806  | 10.4031  |  182.3901  |    211.2925   |   221.6956  |  28.9024  |   39.3055    |    0.0000  
   99    |     3     |  1.2971  |  3.2321  |  183.6872  |    214.1451   |   217.3772  |  30.4579  |   33.6900    |    0.0000  
  100    |     3     |  0.1026  |  0.8576  |  183.7898  |    217.3772   |   218.2348  |  33.5874  |   34.4450    |    0.0000  
  101    |     3     |  1.3409  |  5.0549  |  185.1307  |    218.2348   |   223.2897  |  33.1041  |   38.1590    |    0.0000  
  102    |     2     |  1.3517  |  3.7974  |  186.4823  |    219.2064   |   223.0038  |  32.7241  |   36.5214    |    0.0000  
  103    |     1     |  3.7175  |  5.9341  |  190.1999  |    221.6956   |   227.6297  |  31.4957  |   37.4298    |    0.0000  
  104    |     2     |  0.9826  |  2.7407  |  191.1824  |    223.0038   |   225.7444  |  31.8213  |   34.5620    |    0.0000  
  105    |     3     |  2.8615  |  1.3297  |  194.0439  |    223.2897   |   224.6194  |  29.2458  |   30.5755    |    0.0000  
  106    |     3     |  4.2742  | 10.1979  |  198.3181  |    224.6194   |   234.8173  |  26.3013  |   36.4991    |    0.0000  

  Clientes simulados:       106
  Tempo médio na fila:      9.6089
  Tempo médio de serviço:   8.1850
  Tempo médio no sistema:   17.7938
  Tempo médio ocioso:       0.4962
    caixa 1 — ocioso acum.: 9.4158
    caixa 2 — ocioso acum.: 13.3509
    caixa 3 — ocioso acum.: 13.3311
    caixa 4 — ocioso acum.: 16.4962

-- Rep 2 (seed_tec=1168, seed_ts=440) --
Cliente  |   Caixa   |   TEC    |    TS    |  Chegada   |  Início Serv. |  Fim Serv.  |  T. Fila  |  T. Sistema  |  T. Ocioso 
---------+-----------+----------+----------+------------+---------------+-------------+-----------+--------------+------------
   1     |     1     |  9.3899  | 45.3699  |   9.3899   |     9.3899    |   54.7598   |   0.0000  |   45.3699    |    9.3899  
   2     |     2     |  0.9047  |  1.0534  |  10.2946   |    10.2946    |   11.3480   |   0.0000  |    1.0534    |   10.2946  
   3     |     3     |  1.2066  |  6.1027  |  11.5012   |    11.5012    |   17.6039   |   0.0000  |    6.1027    |   11.5012  
   4     |     4     |  0.7038  |  1.7248  |  12.2050   |    12.2050    |   13.9298   |   0.0000  |    1.7248    |   12.2050  
   5     |     2     |  2.6029  |  6.9861  |  14.8079   |    14.8079    |   21.7940   |   0.0000  |    6.9861    |    3.4599  
   6     |     4     |  0.5905  |  8.5826  |  15.3984   |    15.3984    |   23.9810   |   0.0000  |    8.5826    |    1.4687  
   7     |     3     |  0.1066  |  2.8576  |  15.5050   |    17.6039    |   20.4615   |   2.0989  |    4.9565    |    0.0000  
   8     |     3     |  0.1799  |  2.8480  |  15.6849   |    20.4615    |   23.3094   |   4.7766  |    7.6246    |    0.0000  
   9     |     2     |  1.7436  |  0.9285  |  17.4284   |    21.7940    |   22.7225   |   4.3656  |    5.2941    |    0.0000  
   10    |     2     |  0.6534  | 10.6280  |  18.0818   |    22.7225    |   33.3505   |   4.6407  |   15.2687    |    0.0000  
   11    |     3     |  0.1442  |  2.3990  |  18.2261   |    23.3094    |   25.7084   |   5.0834  |    7.4823    |    0.0000  
   12    |     4     |  0.7763  |  4.8822  |  19.0023   |    23.9810    |   28.8632   |   4.9787  |    9.8608    |    0.0000  
   13    |     3     |  1.1329  |  3.7632  |  20.1353   |    25.7084    |   29.4716   |   5.5731  |    9.3363    |    0.0000  
   14    |     4     |  1.9340  | 12.4196  |  22.0693   |    28.8632    |   41.2828   |   6.7939  |   19.2135    |    0.0000  
   15    |     3     |  1.6275  |  5.1836  |  23.6968   |    29.4716    |   34.6552   |   5.7748  |   10.9584    |    0.0000  
   16    |     2     |  0.7426  | 21.4960  |  24.4394   |    33.3505    |   54.8465   |   8.9111  |   30.4071    |    0.0000  
   17    |     3     |  0.2052  |  9.4804  |  24.6446   |    34.6552    |   44.1356   |  10.0106  |   19.4910    |    0.0000  
   18    |     4     |  0.0171  |  7.5905  |  24.6617   |    41.2828    |   48.8732   |  16.6210  |   24.2115    |    0.0000  
   19    |     3     |  0.3739  |  2.8205  |  25.0356   |    44.1356    |   46.9561   |  19.1000  |   21.9205    |    0.0000  
   20    |     3     |  5.2696  |  7.1214  |  30.3052   |    46.9561    |   54.0775   |  16.6509  |   23.7723    |    0.0000  
   21    |     4     |  0.9444  |  2.9242  |  31.2497   |    48.8732    |   51.7975   |  17.6236  |   20.5478    |    0.0000  
   22    |     4     |  3.7872  | 13.7187  |  35.0369   |    51.7975    |   65.5162   |  16.7606  |   30.4793    |    0.0000  
   23    |     3     |  0.1565  | 15.1918  |  35.1934   |    54.0775    |   69.2692   |  18.8841  |   34.0758    |    0.0000  
   24    |     1     |  0.5758  |  7.4908  |  35.7692   |    54.7598    |   62.2506   |  18.9906  |   26.4814    |    0.0000  
   25    |     2     |  2.2607  |  9.2814  |  38.0299   |    54.8465    |   64.1279   |  16.8166  |   26.0980    |    0.0000  
   26    |     1     |  1.5846  |  1.3128  |  39.6144   |    62.2506    |   63.5633   |  22.6361  |   23.9489    |    0.0000  
   27    |     1     |  1.7590  |  6.1335  |  41.3734   |    63.5633    |   69.6968   |  22.1899  |   28.3234    |    0.0000  
   28    |     2     |  0.5037  |  2.5799  |  41.8772   |    64.1279    |   66.7078   |  22.2507  |   24.8307    |    0.0000  
   29    |     4     |  0.2393  | 25.8078  |  42.1164   |    65.5162    |   91.3240   |  23.3997  |   49.2075    |    0.0000  
   30    |     2     |  0.0189  |  5.1722  |  42.1353   |    66.7078    |   71.8800   |  24.5725  |   29.7448    |    0.0000  
   31    |     3     |  2.7351  |  4.9122  |  44.8704   |    69.2692    |   74.1815   |  24.3988  |   29.3111    |    0.0000  
   32    |     1     |  2.7942  |  8.0162  |  47.6646   |    69.6968    |   77.7130   |  22.0322  |   30.0483    |    0.0000  
   33    |     2     |  1.2136  |  5.8831  |  48.8782   |    71.8800    |   77.7632   |  23.0018  |   28.8850    |    0.0000  
   34    |     3     |  1.6486  |  0.9829  |  50.5268   |    74.1815    |   75.1644   |  23.6547  |   24.6376    |    0.0000  
   35    |     3     |  0.5924  |  1.0588  |  51.1191   |    75.1644    |   76.2232   |  24.0452  |   25.1041    |    0.0000  
   36    |     3     |  1.9480  |  6.8819  |  53.0671   |    76.2232    |   83.1052   |  23.1561  |   30.0381    |    0.0000  
   37    |     1     |  0.1628  |  8.1517  |  53.2299   |    77.7130    |   85.8646   |  24.4831  |   32.6348    |    0.0000  
   38    |     2     |  1.4371  |  1.5816  |  54.6670   |    77.7632    |   79.3448   |  23.0962  |   24.6778    |    0.0000  
   39    |     2     |  1.2635  | 22.9953  |  55.9305   |    79.3448    |   102.3401  |  23.4143  |   46.4096    |    0.0000  
   40    |     3     |  0.6694  |  2.3120  |  56.5998   |    83.1052    |   85.4171   |  26.5053  |   28.8173    |    0.0000  
