=== Rodada 5 | s=1 | T=200 | 200 repl. ===

-- Rep 1 (seed_tec=1153, seed_ts=604) --
Cliente  |   Caixa   |   TEC    |    TS    |  Chegada   |  Início Serv. |  Fim Serv.  |  T. Fila  |  T. Sistema  |  T. Ocioso 
---------+-----------+----------+----------+------------+---------------+-------------+-----------+--------------+------------
   1     |     1     |  9.4158  | 42.8355  |   9.4158   |     9.4158    |   52.2513   |   0.0000  |   42.8355    |    9.4158  
   2     |     1     |  0.8218  |  6.4090  |  10.2375   |    52.2513    |   58.6603   |  42.0138  |   48.4227    |    0.0000  
   3     |     1     |  3.0935  |  7.6233  |  13.3311   |    58.6603    |   66.2836   |  45.3292  |   52.9526    |    0.0000  
   4     |     1     |  0.3881  | 29.6142  |  13.7192   |    66.2836    |   95.8978   |  52.5644  |   82.1786    |    0.0000  
   5     |     1     |  2.5415  |  1.8715  |  16.2607   |    95.8978    |   97.7693   |  79.6371  |   81.5086    |    0.0000  
   6     |     1     |  1.5533  | 11.0473  |  17.8140   |    97.7693    |   108.8166  |  79.9553  |   91.0027    |    0.0000  
   7     |     1     |  2.8340  |  7.0368  |  20.6480   |    108.8166   |   115.8534  |  88.1687  |   95.2055    |    0.0000  
   8     |     1     |  0.6266  | 26.9834  |  21.2746   |    115.8534   |   142.8369  |  94.5789  |   121.5623   |    0.0000  
   9     |     1     |  2.9502  |  9.7654  |  24.2248   |    142.8369   |   152.6023  |  118.6121 |   128.3776   |    0.0000  
   10    |     1     |  0.7108  |  4.7174  |  24.9355   |    152.6023   |   157.3197  |  127.6668 |   132.3842   |    0.0000  
   11    |     1     |  3.4531  |  3.6298  |  28.3887   |    157.3197   |   160.9495  |  128.9311 |   132.5609   |    0.0000  
   12    |     1     |  0.2396  |  2.5453  |  28.6283   |    160.9495   |   163.4948  |  132.3212 |   134.8665   |    0.0000  
   13    |     1     |  4.5452  |  0.8157  |  33.1735   |    163.4948   |   164.3104  |  130.3213 |   131.1369   |    0.0000  
   14    |     1     |  0.2978  |  1.0085  |  33.4713   |    164.3104   |   165.3190  |  130.8391 |   131.8477   |    0.0000  
   15    |     1     |  0.8886  |  9.8802  |  34.3600   |    165.3190   |   175.1992  |  130.9590 |   140.8392   |    0.0000  
   16    |     1     |  0.5906  |  0.5042  |  34.9505   |    175.1992   |   175.7034  |  140.2487 |   140.7529   |    0.0000  
   17    |     1     |  0.3601  |  7.8631  |  35.3106   |    175.7034   |   183.5665  |  140.3928 |   148.2560   |    0.0000  
   18    |     1     |  0.2648  |  3.4499  |  35.5753   |    183.5665   |   187.0164  |  147.9912 |   151.4411   |    0.0000  
   19    |     1     |  5.0958  |  4.3158  |  40.6712   |    187.0164   |   191.3323  |  146.3453 |   150.6611   |    0.0000  
   20    |     1     |  5.3444  |  7.8956  |  46.0156   |    191.3323   |   199.2279  |  145.3167 |   153.2123   |    0.0000  
   21    |     1     |  2.0359  | 14.5846  |  48.0515   |    199.2279   |   213.8125  |  151.1764 |   165.7610   |    0.0000  
   22    |     1     |  0.3275  |  1.6787  |  48.3790   |    213.8125   |   215.4911  |  165.4334 |   167.1121   |    0.0000  
   23    |     1     |  4.8144  |  2.3884  |  53.1934   |    215.4911   |   217.8795  |  162.2977 |   164.6861   |    0.0000  
   24    |     1     |  0.4632  |  0.1319  |  53.6566   |    217.8795   |   218.0115  |  164.2230 |   164.3549   |    0.0000  
   25    |     1     |  0.9227  | 19.7395  |  54.5793   |    218.0115   |   237.7510  |  163.4322 |   183.1717   |    0.0000  
   26    |     1     |  1.1997  | 10.6248  |  55.7790   |    237.7510   |   248.3757  |  181.9720 |   192.5967   |    0.0000  
   27    |     1     |  6.6754  |  4.8295  |  62.4544   |    248.3757   |   253.2052  |  185.9213 |   190.7508   |    0.0000  
   28    |     1     |  0.0639  |  0.2680  |  62.5183   |    253.2052   |   253.4732  |  190.6869 |   190.9549   |    0.0000  
   29    |     1     |  0.8700  | 10.6662  |  63.3883   |    253.4732   |   264.1394  |  190.0849 |   200.7511   |    0.0000  
   30    |     1     |  1.4984  |  5.2450  |  64.8867   |    264.1394   |   269.3844  |  199.2528 |   204.4978   |    0.0000  
   31    |     1     |  1.0219  |  1.4543  |  65.9086   |    269.3844   |   270.8387  |  203.4758 |   204.9301   |    0.0000  
   32    |     1     |  0.4108  |  8.0057  |  66.3193   |    270.8387   |   278.8444  |  204.5194 |   212.5251   |    0.0000  
   33    |     1     |  0.9942  |  5.2067  |  67.3135   |    278.8444   |   284.0511  |  211.5309 |   216.7376   |    0.0000  
   34    |     1     |  0.6388  |  3.2210  |  67.9523   |    284.0511   |   287.2721  |  216.0988 |   219.3198   |    0.0000  
   35    |     1     |  0.7065  |  4.1743  |  68.6588   |    287.2721   |   291.4464  |  218.6133 |   222.7876   |    0.0000  
   36    |     1     |  1.5790  | 10.9800  |  70.2378   |    291.4464   |   302.4264  |  221.2086 |   232.1886   |    0.0000  
   37    |     1     |  1.6774  | 17.3939  |  71.9152   |    302.4264   |   319.8203  |  230.5112 |   247.9050   |    0.0000  
   38    |     1     |  3.9139  |  1.0963  |  75.8291   |    319.8203   |   320.9166  |  243.9912 |   245.0875   |    0.0000  
   39    |     1     |  0.8126  |  4.2676  |  76.6417   |    320.9166   |   325.1842  |  244.2749 |   248.5425   |    0.0000  
   40    |     1     |  2.8922  |  3.2691  |  79.5339   |    325.1842   |   328.4532  |  245.6503 |   248.9193   |    0.0000  
   41    |     1     |  0.3586  | 12.4287  |  79.8926   |    328.4532   |   340.8820  |  248.5607 |   260.9894   |    0.0000  
   42    |     1     |  0.2546  |  6.2057  |  80.1471   |    340.8820   |   347.0877  |  260.7348 |   266.9406   |    0.0000  
   43    |     1     |  2.9617  |  5.7579  |  83.1089   |    347.0877   |   352.8456  |  263.9789 |   269.7367   |    0.0000  
   44    |     1     |  0.9584  | 28.9178  |  84.0673   |    352.8456   |   381.7634  |  268.7783 |   297.6961   |    0.0000  
   45    |     1     |  3.2097  |  5.2743  |  87.2770   |    381.7634   |   387.0377  |  294.4864 |   299.7607   |    0.0000  
   46    |     1     |  0.4293  |  0.8227  |  87.7063   |    387.0377   |   387.8604  |  299.3314 |   300.1541   |    0.0000  
   47    |     1     |  2.5832  |  5.4281  |  90.2895   |    387.8604   |   393.2885  |  297.5709 |   302.9990   |    0.0000  
   48    |     1     |  5.3966  |  8.1045  |  95.6861   |    393.2885   |   401.3930  |  297.6024 |   305.7069   |    0.0000  
   49    |     1     |  1.6667  |  2.6634  |  97.3528   |    401.3930   |   404.0565  |  304.0402 |   306.7037   |    0.0000  
   50    |     1     |  3.4036  |  4.1874  |  100.7565  |    404.0565   |   408.2439  |  303.3000 |   307.4874   |    0.0000  
   51    |     1     |  0.5267  |  0.3029  |  101.2831  |    408.2439   |   408.5468  |  306.9607 |   307.2636   |    0.0000  
   52    |     1     |  0.3854  |  4.7829  |  101.6686  |    408.5468   |   413.3296  |  306.8782 |   311.6611   |    0.0000  
   53    |     1     |  3.7426  |  3.8792  |  105.4112  |    413.3296   |   417.2089  |  307.9185 |   311.7977   |    0.0000  
   54    |     1     |  0.0659  | 25.0375  |  105.4771  |    417.2089   |   442.2463  |  311.7318 |   336.7693   |    0.0000  
   55    |     1     |  2.9175  |  0.0317  |  108.3946  |    442.2463   |   442.2780  |  333.8517 |   333.8834   |    0.0000  
   56    |     1     |  0.0347  |  4.4921  |  108.4293  |    442.2780   |   446.7701  |  333.8487 |   338.3408   |    0.0000  
   57    |     1     |  0.0930  |  1.2392  |  108.5224  |    446.7701   |   448.0093  |  338.2477 |   339.4869   |    0.0000  
   58    |     1     |  0.0046  | 13.5253  |  108.5270  |    448.0093   |   461.5346  |  339.4823 |   353.0076   |    0.0000  
   59    |     1     |  2.2981  | 14.5764  |  110.8251  |    461.5346   |   476.1110  |  350.7096 |   365.2860   |    0.0000  
   60    |     1     |  0.3710  |  4.3460  |  111.1961  |    476.1110   |   480.4571  |  364.9149 |   369.2610   |    0.0000  
   61    |     1     |  5.4663  |  7.1237  |  116.6624  |    480.4571   |   487.5807  |  363.7947 |   370.9184   |    0.0000  
   62    |     1     |  0.6712  |  2.4977  |  117.3336  |    487.5807   |   490.0784  |  370.2472 |   372.7448   |    0.0000  
   63    |     1     |  2.5131  |  1.3915  |  119.8467  |    490.0784   |   491.4700  |  370.2317 |   371.6233   |    0.0000  
   64    |     1     |  0.3369  |  2.9004  |  120.1836  |    491.4700   |   494.3704  |  371.2864 |   374.1868   |    0.0000  
   65    |     1     |  1.0271  |  0.5648  |  121.2107  |    494.3704   |   494.9352  |  373.1597 |   373.7245   |    0.0000  
   66    |     1     |  1.1771  |  8.1307  |  122.3879  |    494.9352   |   503.0659  |  372.5473 |   380.6780   |    0.0000  
   67    |     1     |  0.2909  |  2.2878  |  122.6788  |    503.0659   |   505.3537  |  380.3871 |   382.6749   |    0.0000  
   68    |     1     |  0.9722  |  1.7585  |  123.6510  |    505.3537   |   507.1122  |  381.7027 |   383.4612   |    0.0000  
   69    |     1     |  0.5171  |  6.3951  |  124.1681  |    507.1122   |   513.5072  |  382.9441 |   389.3392   |    0.0000  
   70    |     1     |  6.8418  |  4.8640  |  131.0098  |    513.5072   |   518.3712  |  382.4974 |   387.3614   |    0.0000  
   71    |     1     |  2.3086  |  6.8062  |  133.3184  |    518.3712   |   525.1774  |  385.0528 |   391.8590   |    0.0000  
   72    |     1     |  0.1757  | 30.5857  |  133.4941  |    525.1774   |   555.7631  |  391.6833 |   422.2690   |    0.0000  
   73    |     1     |  1.4876  |  8.2310  |  134.9817  |    555.7631   |   563.9941  |  420.7814 |   429.0125   |    0.0000  
   74    |     1     |  0.9193  |  0.4463  |  135.9009  |    563.9941   |   564.4405  |  428.0932 |   428.5395   |    0.0000  
   75    |     1     |  0.4494  |  0.2649  |  136.3504  |    564.4405   |   564.7054  |  428.0901 |   428.3550   |    0.0000  
   76    |     1     |  1.3623  |  5.1506  |  137.7127  |    564.7054   |   569.8560  |  426.9927 |   432.1434   |    0.0000  
   77    |     1     |  0.1028  |  8.3554  |  137.8155  |    569.8560   |   578.2115  |  432.0405 |   440.3960   |    0.0000  
   78    |     1     |  0.5838  | 11.0672  |  138.3993  |    578.2115   |   589.2786  |  439.8122 |   450.8793   |    0.0000  
   79    |     1     |  7.3036  |  0.3716  |  145.7029  |    589.2786   |   589.6502  |  443.5757 |   443.9473   |    0.0000  
   80    |     1     |  6.1651  | 12.7349  |  151.8680  |    589.6502   |   602.3851  |  437.7822 |   450.5171   |    0.0000  
   81    |     1     |  1.4959  | 51.2590  |  153.3639  |    602.3851   |   653.6441  |  449.0212 |   500.2802   |    0.0000  
   82    |     1     |  1.2093  |  2.6204  |  154.5731  |    653.6441   |   656.2645  |  499.0710 |   501.6914   |    0.0000  
   83    |     1     |  2.4384  |  4.3016  |  157.0116  |    656.2645   |   660.5660  |  499.2529 |   503.5545   |    0.0000  
   84    |     1     |  0.4741  |  1.5196  |  157.4856  |    660.5660   |   662.0856  |  503.0804 |   504.6000   |    0.0000  
   85    |     1     |  4.8395  |  6.9159  |  162.3252  |    662.0856   |   669.0015  |  499.7605 |   506.6764   |    0.0000  
   86    |     1     |  0.2934  | 11.2773  |  162.6185  |    669.0015   |   680.2789  |  506.3830 |   517.6603   |    0.0000  
   87    |     1     |  0.2857  |  3.0899  |  162.9043  |    680.2789   |   683.3688  |  517.3746 |   520.4645   |    0.0000  
   88    |     1     |  1.8324  | 15.2387  |  164.7367  |    683.3688   |   698.6075  |  518.6321 |   533.8708   |    0.0000  
   89    |     1     |  1.9620  |  3.1733  |  166.6987  |    698.6075   |   701.7808  |  531.9088 |   535.0821   |    0.0000  
   90    |     1     |  1.2934  |  2.8807  |  167.9921  |    701.7808   |   704.6615  |  533.7887 |   536.6694   |    0.0000  
   91    |     1     |  0.2700  |  1.3029  |  168.2622  |    704.6615   |   705.9644  |  536.3993 |   537.7022   |    0.0000  
   92    |     1     |  3.3313  | 31.9693  |  171.5934  |    705.9644   |   737.9337  |  534.3710 |   566.3403   |    0.0000  
   93    |     1     |  0.6554  | 34.6144  |  172.2488  |    737.9337   |   772.5481  |  565.6849 |   600.2993   |    0.0000  
   94    |     1     |  0.4349  | 32.4489  |  172.6837  |    772.5481   |   804.9970  |  599.8644 |   632.3133   |    0.0000  
   95    |     1     |  1.1813  | 27.3866  |  173.8650  |    804.9970   |   832.3836  |  631.1320 |   658.5186   |    0.0000  
   96    |     1     |  1.7506  |  0.2201  |  175.6156  |    832.3836   |   832.6037  |  656.7680 |   656.9881   |    0.0000  
   97    |     1     |  4.0939  |  0.8715  |  179.7095  |    832.6037   |   833.4752  |  652.8942 |   653.7657   |    0.0000  
   98    |     1     |  2.6806  | 10.4031  |  182.3901  |    833.4752   |   843.8783  |  651.0851 |   661.4882   |    0.0000  
   99    |     1     |  1.2971  |  3.2321  |  183.6872  |    843.8783   |   847.1105  |  660.1912 |   663.4233   |    0.0000  
  100    |     1     |  0.1026  |  0.8576  |  183.7898  |    847.1105   |   847.9681  |  663.3207 |   664.1783   |    0.0000  
  101    |     1     |  1.3409  |  5.0549  |  185.1307  |    847.9681   |   853.0230  |  662.8374 |   667.8923   |    0.0000  
  102    |     1     |  1.3517  |  3.7974  |  186.4823  |    853.0230   |   856.8203  |  666.5406 |   670.3380   |    0.0000  
  103    |     1     |  3.7175  |  5.9341  |  190.1999  |    856.8203   |   862.7544  |  666.6204 |   672.5545   |    0.0000  
  104    |     1     |  0.9826  |  2.7407  |  191.1824  |    862.7544   |   865.4951  |  671.5720 |   674.3127   |    0.0000  
  105    |     1     |  2.8615  |  1.3297  |  194.0439  |    865.4951   |   866.8248  |  671.4512 |   672.7809   |    0.0000  
  106    |     1     |  4.2742  | 10.1979  |  198.3181  |    866.8248   |   877.0227  |  668.5067 |   678.7046   |    0.0000  

  Clientes simulados:       106
  Tempo médio na fila:      334.2424
  Tempo médio de serviço:   8.1850
  Tempo médio no sistema:   342.4273
  Tempo médio ocioso:       0.0888
    caixa 1 — ocioso acum.: 9.4158

-- Rep 2 (seed_tec=1168, seed_ts=440) --
Cliente  |   Caixa   |   TEC    |    TS    |  Chegada   |  Início Serv. |  Fim Serv.  |  T. Fila  |  T. Sistema  |  T. Ocioso 
---------+-----------+----------+----------+------------+---------------+-------------+-----------+--------------+------------
   1     |     1     |  9.3899  | 45.3699  |   9.3899   |     9.3899    |   54.7598   |   0.0000  |   45.3699    |    9.3899  
   2     |     1     |  0.9047  |  1.0534  |  10.2946   |    54.7598    |   55.8132   |  44.4652  |   45.5186    |    0.0000  
   3     |     1     |  1.2066  |  6.1027  |  11.5012   |    55.8132    |   61.9159   |  44.3121  |   50.4147    |    0.0000  
   4     |     1     |  0.7038  |  1.7248  |  12.2050   |    61.9159    |   63.6407   |  49.7110  |   51.4357    |    0.0000  
   5     |     1     |  2.6029  |  6.9861  |  14.8079   |    63.6407    |   70.6269   |  48.8328  |   55.8190    |    0.0000  
   6     |     1     |  0.5905  |  8.5826  |  15.3984   |    70.6269    |   79.2094   |  55.2284  |   63.8110    |    0.0000  
   7     |     1     |  0.1066  |  2.8576  |  15.5050   |    79.2094    |   82.0670   |  63.7044  |   66.5621    |    0.0000  
   8     |     1     |  0.1799  |  2.8480  |  15.6849   |    82.0670    |   84.9150   |  66.3822  |   69.2301    |    0.0000  
   9     |     1     |  1.7436  |  0.9285  |  17.4284   |    84.9150    |   85.8435   |  67.4866  |   68.4151    |    0.0000  
   10    |     1     |  0.6534  | 10.6280  |  18.0818   |    85.8435    |   96.4715   |  67.7617  |   78.3897    |    0.0000  
   11    |     1     |  0.1442  |  2.3990  |  18.2261   |    96.4715    |   98.8705   |  78.2455  |   80.6444    |    0.0000  
   12    |     1     |  0.7763  |  4.8822  |  19.0023   |    98.8705    |   103.7527  |  79.8682  |   84.7503    |    0.0000  
   13    |     1     |  1.1329  |  3.7632  |  20.1353   |    103.7527   |   107.5159  |  83.6174  |   87.3806    |    0.0000  
   14    |     1     |  1.9340  | 12.4196  |  22.0693   |    107.5159   |   119.9355  |  85.4466  |   97.8662    |    0.0000  
   15    |     1     |  1.6275  |  5.1836  |  23.6968   |    119.9355   |   125.1190  |  96.2387  |   101.4222   |    0.0000  
   16    |     1     |  0.7426  | 21.4960  |  24.4394   |    125.1190   |   146.6150  |  100.6796 |   122.1756   |    0.0000  
   17    |     1     |  0.2052  |  9.4804  |  24.6446   |    146.6150   |   156.0954  |  121.9704 |   131.4508   |    0.0000  
   18    |     1     |  0.0171  |  7.5905  |  24.6617   |    156.0954   |   163.6859  |  131.4337 |   139.0242   |    0.0000  
   19    |     1     |  0.3739  |  2.8205  |  25.0356   |    163.6859   |   166.5064  |  138.6503 |   141.4708   |    0.0000  
   20    |     1     |  5.2696  |  7.1214  |  30.3052   |    166.5064   |   173.6278  |  136.2012 |   143.3225   |    0.0000  
   21    |     1     |  0.9444  |  2.9242  |  31.2497   |    173.6278   |   176.5520  |  142.3781 |   145.3024   |    0.0000  
   22    |     1     |  3.7872  | 13.7187  |  35.0369   |    176.5520   |   190.2707  |  141.5151 |   155.2338   |    0.0000  
   23    |     1     |  0.1565  | 15.1918  |  35.1934   |    190.2707   |   205.4625  |  155.0773 |   170.2690   |    0.0000  
   24    |     1     |  0.5758  |  7.4908  |  35.7692   |    205.4625   |   212.9532  |  169.6932 |   177.1840   |    0.0000  
   25    |     1     |  2.2607  |  9.2814  |  38.0299   |    212.9532   |   222.2346  |  174.9233 |   184.2047   |    0.0000  
   26    |     1     |  1.5846  |  1.3128  |  39.6144   |    222.2346   |   223.5474  |  182.6202 |   183.9329   |    0.0000  
   27    |     1     |  1.7590  |  6.1335  |  41.3734   |    223.5474   |   229.6808  |  182.1739 |   188.3074   |    0.0000  
   28    |     1     |  0.5037  |  2.5799  |  41.8772   |    229.6808   |   232.2607  |  187.8037 |   190.3836   |    0.0000  
   29    |     1     |  0.2393  | 25.8078  |  42.1164   |    232.2607   |   258.0685  |  190.1443 |   215.9521   |    0.0000  
   30    |     1     |  0.0189  |  5.1722  |  42.1353   |    258.0685   |   263.2408  |  215.9333 |   221.1055   |    0.0000  
   31    |     1     |  2.7351  |  4.9122  |  44.8704   |    263.2408   |   268.1530  |  218.3704 |   223.2826   |    0.0000  
   32    |     1     |  2.7942  |  8.0162  |  47.6646   |    268.1530   |   276.1692  |  220.4884 |   228.5045   |    0.0000  
   33    |     1     |  1.2136  |  5.8831  |  48.8782   |    276.1692   |   282.0523  |  227.2910 |   233.1741   |    0.0000  
   34    |     1     |  1.6486  |  0.9829  |  50.5268   |    282.0523   |   283.0352  |  231.5256 |   232.5084   |    0.0000  
   35    |     1     |  0.5924  |  1.0588  |  51.1191   |    283.0352   |   284.0940  |  231.9161 |   232.9749   |    0.0000  
   36    |     1     |  1.9480  |  6.8819  |  53.0671   |    284.0940   |   290.9760  |  231.0269 |   237.9089   |    0.0000  
   37    |     1     |  0.1628  |  8.1517  |  53.2299   |    290.9760   |   299.1277  |  237.7461 |   245.8978   |    0.0000  
   38    |     1     |  1.4371  |  1.5816  |  54.6670   |    299.1277   |   300.7093  |  244.4607 |   246.0423   |    0.0000  
   39    |     1     |  1.2635  | 22.9953  |  55.9305   |    300.7093   |   323.7045  |  244.7788 |   267.7741   |    0.0000  
   40    |     1     |  0.6694  |  2.3120  |  56.5998   |    323.7045   |   326.0165  |  267.1047 |   269.4167   |    0.0000  
   41    |     1     |  1.2271  |  2.8865  |  57.8270   |    326.0165   |   328.9030  |  268.1895 |   271.0760   |    0.0000  
