=== Rodada 5 | s=2 | T=200 | 200 repl. ===

-- Rep 1 (seed_tec=1153, seed_ts=604) --
Cliente  |   Caixa   |   TEC    |    TS    |  Chegada   |  Início Serv. |  Fim Serv.  |  T. Fila  |  T. Sistema  |  T. Ocioso 
---------+-----------+----------+----------+------------+---------------+-------------+-----------+--------------+------------
   1     |     1     |  9.4158  | 42.8355  |   9.4158   |     9.4158    |   52.2513   |   0.0000  |   42.8355    |    9.4158  
   2     |     2     |  0.8218  |  6.4090  |  10.2375   |    10.2375    |   16.6465   |   0.0000  |    6.4090    |   10.2375  
   3     |     2     |  3.0935  |  7.6233  |  13.3311   |    16.6465    |   24.2699   |   3.3155  |   10.9388    |    0.0000  
   4     |     2     |  0.3881  | 29.6142  |  13.7192   |    24.2699    |   53.8841   |  10.5507  |   40.1649    |    0.0000  
   5     |     1     |  2.5415  |  1.8715  |  16.2607   |    52.2513    |   54.1228   |  35.9906  |   37.8621    |    0.0000  
   6     |     2     |  1.5533  | 11.0473  |  17.8140   |    53.8841    |   64.9314   |  36.0701  |   47.1174    |    0.0000  
   7     |     1     |  2.8340  |  7.0368  |  20.6480   |    54.1228    |   61.1596   |  33.4748  |   40.5116    |    0.0000  
   8     |     1     |  0.6266  | 26.9834  |  21.2746   |    61.1596    |   88.1430   |  39.8850  |   66.8685    |    0.0000  
   9     |     2     |  2.9502  |  9.7654  |  24.2248   |    64.9314    |   74.6968   |  40.7066  |   50.4720    |    0.0000  
   10    |     2     |  0.7108  |  4.7174  |  24.9355   |    74.6968    |   79.4142   |  49.7613  |   54.4787    |    0.0000  
   11    |     2     |  3.4531  |  3.6298  |  28.3887   |    79.4142    |   83.0440   |  51.0255  |   54.6554    |    0.0000  
   12    |     2     |  0.2396  |  2.5453  |  28.6283   |    83.0440    |   85.5893   |  54.4157  |   56.9610    |    0.0000  
   13    |     2     |  4.5452  |  0.8157  |  33.1735   |    85.5893    |   86.4049   |  52.4158  |   53.2314    |    0.0000  
   14    |     2     |  0.2978  |  1.0085  |  33.4713   |    86.4049    |   87.4135   |  52.9336  |   53.9422    |    0.0000  
   15    |     2     |  0.8886  |  9.8802  |  34.3600   |    87.4135    |   97.2937   |  53.0535  |   62.9337    |    0.0000  
   16    |     1     |  0.5906  |  0.5042  |  34.9505   |    88.1430    |   88.6473   |  53.1925  |   53.6968    |    0.0000  
   17    |     1     |  0.3601  |  7.8631  |  35.3106   |    88.6473    |   96.5104   |  53.3367  |   61.1998    |    0.0000  
   18    |     1     |  0.2648  |  3.4499  |  35.5753   |    96.5104    |   99.9603   |  60.9350  |   64.3849    |    0.0000  
   19    |     2     |  5.0958  |  4.3158  |  40.6712   |    97.2937    |   101.6095  |  56.6225  |   60.9383    |    0.0000  
   20    |     1     |  5.3444  |  7.8956  |  46.0156   |    99.9603    |   107.8559  |  53.9447  |   61.8403    |    0.0000  
   21    |     2     |  2.0359  | 14.5846  |  48.0515   |    101.6095   |   116.1941  |  53.5580  |   68.1426    |    0.0000  
   22    |     1     |  0.3275  |  1.6787  |  48.3790   |    107.8559   |   109.5346  |  59.4769  |   61.1555    |    0.0000  
   23    |     1     |  4.8144  |  2.3884  |  53.1934   |    109.5346   |   111.9230  |  56.3412  |   58.7296    |    0.0000  
   24    |     1     |  0.4632  |  0.1319  |  53.6566   |    111.9230   |   112.0549  |  58.2664  |   58.3984    |    0.0000  
   25    |     1     |  0.9227  | 19.7395  |  54.5793   |    112.0549   |   131.7944  |  57.4756  |   77.2151    |    0.0000  
   26    |     2     |  1.1997  | 10.6248  |  55.7790   |    116.1941   |   126.8188  |  60.4151  |   71.0398    |    0.0000  
   27    |     2     |  6.6754  |  4.8295  |  62.4544   |    126.8188   |   131.6483  |  64.3644  |   69.1939    |    0.0000  
   28    |     2     |  0.0639  |  0.2680  |  62.5183   |    131.6483   |   131.9163  |  69.1300  |   69.3980    |    0.0000  
   29    |     1     |  0.8700  | 10.6662  |  63.3883   |    131.7944   |   142.4607  |  68.4061  |   79.0724    |    0.0000  
   30    |     2     |  1.4984  |  5.2450  |  64.8867   |    131.9163   |   137.1613  |  67.0297  |   72.2746    |    0.0000  
   31    |     2     |  1.0219  |  1.4543  |  65.9086   |    137.1613   |   138.6156  |  71.2527  |   72.7070    |    0.0000  
   32    |     2     |  0.4108  |  8.0057  |  66.3193   |    138.6156   |   146.6213  |  72.2962  |   80.3020    |    0.0000  
   33    |     1     |  0.9942  |  5.2067  |  67.3135   |    142.4607   |   147.6674  |  75.1471  |   80.3539    |    0.0000  
   34    |     2     |  0.6388  |  3.2210  |  67.9523   |    146.6213   |   149.8423  |  78.6690  |   81.8899    |    0.0000  
   35    |     1     |  0.7065  |  4.1743  |  68.6588   |    147.6674   |   151.8417  |  79.0086  |   83.1829    |    0.0000  
   36    |     2     |  1.5790  | 10.9800  |  70.2378   |    149.8423   |   160.8223  |  79.6044  |   90.5844    |    0.0000  
   37    |     1     |  1.6774  | 17.3939  |  71.9152   |    151.8417   |   169.2356  |  79.9264  |   97.3203    |    0.0000  
   38    |     2     |  3.9139  |  1.0963  |  75.8291   |    160.8223   |   161.9186  |  84.9931  |   86.0895    |    0.0000  
   39    |     2     |  0.8126  |  4.2676  |  76.6417   |    161.9186   |   166.1861  |  85.2769  |   89.5444    |    0.0000  
   40    |     2     |  2.8922  |  3.2691  |  79.5339   |    166.1861   |   169.4552  |  86.6522  |   89.9213    |    0.0000  
   41    |     1     |  0.3586  | 12.4287  |  79.8926   |    169.2356   |   181.6643  |  89.3430  |   101.7717   |    0.0000  
   42    |     2     |  0.2546  |  6.2057  |  80.1471   |    169.4552   |   175.6610  |  89.3081  |   95.5138    |    0.0000  
   43    |     2     |  2.9617  |  5.7579  |  83.1089   |    175.6610   |   181.4188  |  92.5521  |   98.3100    |    0.0000  
   44    |     2     |  0.9584  | 28.9178  |  84.0673   |    181.4188   |   210.3366  |  97.3516  |   126.2694   |    0.0000  
   45    |     1     |  3.2097  |  5.2743  |  87.2770   |    181.6643   |   186.9386  |  94.3873  |   99.6616    |    0.0000  
   46    |     1     |  0.4293  |  0.8227  |  87.7063   |    186.9386   |   187.7613  |  99.2323  |   100.0550   |    0.0000  
   47    |     1     |  2.5832  |  5.4281  |  90.2895   |    187.7613   |   193.1894  |  97.4718  |   102.8999   |    0.0000  
   48    |     1     |  5.3966  |  8.1045  |  95.6861   |    193.1894   |   201.2939  |  97.5033  |   105.6078   |    0.0000  
   49    |     1     |  1.6667  |  2.6634  |  97.3528   |    201.2939   |   203.9574  |  103.9411 |   106.6045   |    0.0000  
   50    |     1     |  3.4036  |  4.1874  |  100.7565  |    203.9574   |   208.1447  |  103.2009 |   107.3883   |    0.0000  
   51    |     1     |  0.5267  |  0.3029  |  101.2831  |    208.1447   |   208.4476  |  106.8616 |   107.1645   |    0.0000  
   52    |     1     |  0.3854  |  4.7829  |  101.6686  |    208.4476   |   213.2305  |  106.7791 |   111.5620   |    0.0000  
   53    |     2     |  3.7426  |  3.8792  |  105.4112  |    210.3366   |   214.2158  |  104.9255 |   108.8047   |    0.0000  
   54    |     1     |  0.0659  | 25.0375  |  105.4771  |    213.2305   |   238.2680  |  107.7535 |   132.7909   |    0.0000  
   55    |     2     |  2.9175  |  0.0317  |  108.3946  |    214.2158   |   214.2475  |  105.8212 |   105.8529   |    0.0000  
   56    |     2     |  0.0347  |  4.4921  |  108.4293  |    214.2475   |   218.7396  |  105.8182 |   110.3103   |    0.0000  
   57    |     2     |  0.0930  |  1.2392  |  108.5224  |    218.7396   |   219.9788  |  110.2172 |   111.4564   |    0.0000  
   58    |     2     |  0.0046  | 13.5253  |  108.5270  |    219.9788   |   233.5041  |  111.4518 |   124.9771   |    0.0000  
   59    |     2     |  2.2981  | 14.5764  |  110.8251  |    233.5041   |   248.0805  |  122.6791 |   137.2555   |    0.0000  
   60    |     1     |  0.3710  |  4.3460  |  111.1961  |    238.2680   |   242.6141  |  127.0719 |   131.4180   |    0.0000  
   61    |     1     |  5.4663  |  7.1237  |  116.6624  |    242.6141   |   249.7377  |  125.9517 |   133.0754   |    0.0000  
   62    |     2     |  0.6712  |  2.4977  |  117.3336  |    248.0805   |   250.5782  |  130.7469 |   133.2446   |    0.0000  
   63    |     1     |  2.5131  |  1.3915  |  119.8467  |    249.7377   |   251.1293  |  129.8910 |   131.2826   |    0.0000  
   64    |     2     |  0.3369  |  2.9004  |  120.1836  |    250.5782   |   253.4786  |  130.3946 |   133.2951   |    0.0000  
   65    |     1     |  1.0271  |  0.5648  |  121.2107  |    251.1293   |   251.6941  |  129.9186 |   130.4833   |    0.0000  
   66    |     1     |  1.1771  |  8.1307  |  122.3879  |    251.6941   |   259.8248  |  129.3062 |   137.4369   |    0.0000  
   67    |     2     |  0.2909  |  2.2878  |  122.6788  |    253.4786   |   255.7664  |  130.7998 |   133.0876   |    0.0000  
   68    |     2     |  0.9722  |  1.7585  |  123.6510  |    255.7664   |   257.5249  |  132.1155 |   133.8740   |    0.0000  
   69    |     2     |  0.5171  |  6.3951  |  124.1681  |    257.5249   |   263.9200  |  133.3569 |   139.7519   |    0.0000  
   70    |     1     |  6.8418  |  4.8640  |  131.0098  |    259.8248   |   264.6887  |  128.8150 |   133.6789   |    0.0000  
   71    |     2     |  2.3086  |  6.8062  |  133.3184  |    263.9200   |   270.7262  |  130.6016 |   137.4078   |    0.0000  
   72    |     1     |  0.1757  | 30.5857  |  133.4941  |    264.6887   |   295.2745  |  131.1946 |   161.7804   |    0.0000  
   73    |     2     |  1.4876  |  8.2310  |  134.9817  |    270.7262   |   278.9572  |  135.7445 |   143.9755   |    0.0000  
   74    |     2     |  0.9193  |  0.4463  |  135.9009  |    278.9572   |   279.4035  |  143.0563 |   143.5026   |    0.0000  
   75    |     2     |  0.4494  |  0.2649  |  136.3504  |    279.4035   |   279.6685  |  143.0532 |   143.3181   |    0.0000  
   76    |     2     |  1.3623  |  5.1506  |  137.7127  |    279.6685   |   284.8191  |  141.9558 |   147.1064   |    0.0000  
   77    |     2     |  0.1028  |  8.3554  |  137.8155  |    284.8191   |   293.1745  |  147.0036 |   155.3591   |    0.0000  
   78    |     2     |  0.5838  | 11.0672  |  138.3993  |    293.1745   |   304.2417  |  154.7752 |   165.8424   |    0.0000  
   79    |     1     |  7.3036  |  0.3716  |  145.7029  |    295.2745   |   295.6460  |  149.5715 |   149.9431   |    0.0000  
   80    |     1     |  6.1651  | 12.7349  |  151.8680  |    295.6460   |   308.3809  |  143.7780 |   156.5129   |    0.0000  
   81    |     2     |  1.4959  | 51.2590  |  153.3639  |    304.2417   |   355.5007  |  150.8778 |   202.1368   |    0.0000  
   82    |     1     |  1.2093  |  2.6204  |  154.5731  |    308.3809   |   311.0013  |  153.8078 |   156.4282   |    0.0000  
   83    |     1     |  2.4384  |  4.3016  |  157.0116  |    311.0013   |   315.3029  |  153.9898 |   158.2914   |    0.0000  
   84    |     1     |  0.4741  |  1.5196  |  157.4856  |    315.3029   |   316.8225  |  157.8173 |   159.3369   |    0.0000  
   85    |     1     |  4.8395  |  6.9159  |  162.3252  |    316.8225   |   323.7384  |  154.4973 |   161.4132   |    0.0000  
   86    |     1     |  0.2934  | 11.2773  |  162.6185  |    323.7384   |   335.0157  |  161.1199 |   172.3972   |    0.0000  
   87    |     1     |  0.2857  |  3.0899  |  162.9043  |    335.0157   |   338.1057  |  172.1115 |   175.2014   |    0.0000  
   88    |     1     |  1.8324  | 15.2387  |  164.7367  |    338.1057   |   353.3444  |  173.3690 |   188.6077   |    0.0000  
   89    |     1     |  1.9620  |  3.1733  |  166.6987  |    353.3444   |   356.5177  |  186.6457 |   189.8190   |    0.0000  
   90    |     2     |  1.2934  |  2.8807  |  167.9921  |    355.5007   |   358.3813  |  187.5085 |   190.3892   |    0.0000  
   91    |     1     |  0.2700  |  1.3029  |  168.2622  |    356.5177   |   357.8206  |  188.2555 |   189.5584   |    0.0000  
   92    |     1     |  3.3313  | 31.9693  |  171.5934  |    357.8206   |   389.7899  |  186.2272 |   218.1965   |    0.0000  
   93    |     2     |  0.6554  | 34.6144  |  172.2488  |    358.3813   |   392.9957  |  186.1325 |   220.7469   |    0.0000  
   94    |     1     |  0.4349  | 32.4489  |  172.6837  |    389.7899   |   422.2389  |  217.1062 |   249.5551   |    0.0000  
   95    |     2     |  1.1813  | 27.3866  |  173.8650  |    392.9957   |   420.3823  |  219.1307 |   246.5173   |    0.0000  
   96    |     2     |  1.7506  |  0.2201  |  175.6156  |    420.3823   |   420.6024  |  244.7667 |   244.9868   |    0.0000  
   97    |     2     |  4.0939  |  0.8715  |  179.7095  |    420.6024   |   421.4739  |  240.8929 |   241.7644   |    0.0000  
   98    |     2     |  2.6806  | 10.4031  |  182.3901  |    421.4739   |   431.8770  |  239.0838 |   249.4869   |    0.0000  
   99    |     1     |  1.2971  |  3.2321  |  183.6872  |    422.2389   |   425.4710  |  238.5517 |   241.7838   |    0.0000  
  100    |     1     |  0.1026  |  0.8576  |  183.7898  |    425.4710   |   426.3286  |  241.6812 |   242.5388   |    0.0000  
  101    |     1     |  1.3409  |  5.0549  |  185.1307  |    426.3286   |   431.3835  |  241.1979 |   246.2528   |    0.0000  
  102    |     1     |  1.3517  |  3.7974  |  186.4823  |    431.3835   |   435.1808  |  244.9011 |   248.6985   |    0.0000  
  103    |     2     |  3.7175  |  5.9341  |  190.1999  |    431.8770   |   437.8111  |  241.6771 |   247.6113   |    0.0000  
  104    |     1     |  0.9826  |  2.7407  |  191.1824  |    435.1808   |   437.9215  |  243.9984 |   246.7391   |    0.0000  
  105    |     2     |  2.8615  |  1.3297  |  194.0439  |    437.8111   |   439.1408  |  243.7672 |   245.0969   |    0.0000  
  106    |     1     |  4.2742  | 10.1979  |  198.3181  |    437.9215   |   448.1194  |  239.6034 |   249.8013   |    0.0000  

  Clientes simulados:       106
  Tempo médio na fila:      116.0692
  Tempo médio de serviço:   8.1850
  Tempo médio no sistema:   124.2542
  Tempo médio ocioso:       0.1854
    caixa 1 — ocioso acum.: 9.4158
    caixa 2 — ocioso acum.: 10.2375

-- Rep 2 (seed_tec=1168, seed_ts=440) --
Cliente  |   Caixa   |   TEC    |    TS    |  Chegada   |  Início Serv. |  Fim Serv.  |  T. Fila  |  T. Sistema  |  T. Ocioso 
---------+-----------+----------+----------+------------+---------------+-------------+-----------+--------------+------------
   1     |     1     |  9.3899  | 45.3699  |   9.3899   |     9.3899    |   54.7598   |   0.0000  |   45.3699    |    9.3899  
   2     |     2     |  0.9047  |  1.0534  |  10.2946   |    10.2946    |   11.3480   |   0.0000  |    1.0534    |   10.2946  
   3     |     2     |  1.2066  |  6.1027  |  11.5012   |    11.5012    |   17.6039   |   0.0000  |    6.1027    |    0.1532  
   4     |     2     |  0.7038  |  1.7248  |  12.2050   |    17.6039    |   19.3287   |   5.3989  |    7.1237    |    0.0000  
   5     |     2     |  2.6029  |  6.9861  |  14.8079   |    19.3287    |   26.3148   |   4.5208  |   11.5069    |    0.0000  
   6     |     2     |  0.5905  |  8.5826  |  15.3984   |    26.3148    |   34.8974   |  10.9164  |   19.4990    |    0.0000  
   7     |     2     |  0.1066  |  2.8576  |  15.5050   |    34.8974    |   37.7550   |  19.3924  |   22.2500    |    0.0000  
   8     |     2     |  0.1799  |  2.8480  |  15.6849   |    37.7550    |   40.6030   |  22.0701  |   24.9181    |    0.0000  
   9     |     2     |  1.7436  |  0.9285  |  17.4284   |    40.6030    |   41.5315   |  23.1745  |   24.1030    |    0.0000  
   10    |     2     |  0.6534  | 10.6280  |  18.0818   |    41.5315    |   52.1595   |  23.4496  |   34.0776    |    0.0000  
   11    |     2     |  0.1442  |  2.3990  |  18.2261   |    52.1595    |   54.5584   |  33.9334  |   36.3324    |    0.0000  
   12    |     2     |  0.7763  |  4.8822  |  19.0023   |    54.5584    |   59.4406   |  35.5561  |   40.4383    |    0.0000  
   13    |     1     |  1.1329  |  3.7632  |  20.1353   |    54.7598    |   58.5230   |  34.6246  |   38.3878    |    0.0000  
   14    |     1     |  1.9340  | 12.4196  |  22.0693   |    58.5230    |   70.9426   |  36.4538  |   48.8734    |    0.0000  
   15    |     2     |  1.6275  |  5.1836  |  23.6968   |    59.4406    |   64.6242   |  35.7438  |   40.9274    |    0.0000  
   16    |     2     |  0.7426  | 21.4960  |  24.4394   |    64.6242    |   86.1201   |  40.1848  |   61.6807    |    0.0000  
   17    |     1     |  0.2052  |  9.4804  |  24.6446   |    70.9426    |   80.4231   |  46.2980  |   55.7785    |    0.0000  
   18    |     1     |  0.0171  |  7.5905  |  24.6617   |    80.4231    |   88.0135   |  55.7613  |   63.3518    |    0.0000  
   19    |     2     |  0.3739  |  2.8205  |  25.0356   |    86.1201    |   88.9406   |  61.0845  |   63.9050    |    0.0000  
   20    |     1     |  5.2696  |  7.1214  |  30.3052   |    88.0135    |   95.1349   |  57.7083  |   64.8297    |    0.0000  
   21    |     2     |  0.9444  |  2.9242  |  31.2497   |    88.9406    |   91.8649   |  57.6910  |   60.6152    |    0.0000  
   22    |     2     |  3.7872  | 13.7187  |  35.0369   |    91.8649    |   105.5835  |  56.8280  |   70.5467    |    0.0000  
   23    |     1     |  0.1565  | 15.1918  |  35.1934   |    95.1349    |   110.3267  |  59.9415  |   75.1333    |    0.0000  
   24    |     2     |  0.5758  |  7.4908  |  35.7692   |    105.5835   |   113.0743  |  69.8143  |   77.3051    |    0.0000  
   25    |     1     |  2.2607  |  9.2814  |  38.0299   |    110.3267   |   119.6081  |  72.2968  |   81.5782    |    0.0000  
   26    |     2     |  1.5846  |  1.3128  |  39.6144   |    113.0743   |   114.3871  |  73.4599  |   74.7726    |    0.0000  
   27    |     2     |  1.7590  |  6.1335  |  41.3734   |    114.3871   |   120.5205  |  73.0136  |   79.1471    |    0.0000  
   28    |     1     |  0.5037  |  2.5799  |  41.8772   |    119.6081   |   122.1880  |  77.7309  |   80.3108    |    0.0000  
   29    |     2     |  0.2393  | 25.8078  |  42.1164   |    120.5205   |   146.3283  |  78.4041  |   104.2119   |    0.0000  
   30    |     1     |  0.0189  |  5.1722  |  42.1353   |    122.1880   |   127.3602  |  80.0527  |   85.2249    |    0.0000  
   31    |     1     |  2.7351  |  4.9122  |  44.8704   |    127.3602   |   132.2725  |  82.4898  |   87.4021    |    0.0000  
   32    |     1     |  2.7942  |  8.0162  |  47.6646   |    132.2725   |   140.2886  |  84.6078  |   92.6240    |    0.0000  
   33    |     1     |  1.2136  |  5.8831  |  48.8782   |    140.2886   |   146.1717  |  91.4104  |   97.2935    |    0.0000  
   34    |     1     |  1.6486  |  0.9829  |  50.5268   |    146.1717   |   147.1546  |  95.6450  |   96.6279    |    0.0000  
   35    |     2     |  0.5924  |  1.0588  |  51.1191   |    146.3283   |   147.3872  |  95.2092  |   96.2680    |    0.0000  
   36    |     1     |  1.9480  |  6.8819  |  53.0671   |    147.1546   |   154.0366  |  94.0875  |   100.9695   |    0.0000  
   37    |     2     |  0.1628  |  8.1517  |  53.2299   |    147.3872   |   155.5389  |  94.1573  |   102.3090   |    0.0000  
   38    |     1     |  1.4371  |  1.5816  |  54.6670   |    154.0366   |   155.6182  |  99.3696  |   100.9512   |    0.0000  
   39    |     2     |  1.2635  | 22.9953  |  55.9305   |    155.5389   |   178.5341  |  99.6084  |   122.6036   |    0.0000  
   40    |     1     |  0.6694  |  2.3120  |  56.5998   |    155.6182   |   157.9302  |  99.0184  |   101.3303   |    0.0000  
