=== Rodada 4 | s=1 | T=200 | 200 repl. ===

-- Rep 1 (seed_tec=1146, seed_ts=1069) --
Cliente  |   Caixa   |   TEC    |    TS    |  Chegada   |  Início Serv. |  Fim Serv.  |  T. Fila  |  T. Sistema  |  T. Ocioso 
---------+-----------+----------+----------+------------+---------------+-------------+-----------+--------------+------------
   1     |     1     |  9.4280  | 38.2683  |   9.4280   |     9.4280    |   47.6962   |   0.0000  |   38.2683    |    9.4280  
   2     |     1     |  0.5960  |  3.9034  |  10.0239   |    47.6962    |   51.5997   |  37.6723  |   41.5757    |    0.0000  
   3     |     1     |  0.1587  |  2.3863  |  10.1827   |    51.5997    |   53.9859   |  41.4170  |   43.8033    |    0.0000  
   4     |     1     |  0.9786  |  9.7124  |  11.1613   |    53.9859    |   63.6984   |  42.8247  |   52.5371    |    0.0000  
   5     |     1     |  1.1911  |  5.1066  |  12.3524   |    63.6984    |   68.8050   |  51.3460  |   56.4526    |    0.0000  
   6     |     1     |  0.1511  | 21.5804  |  12.5035   |    68.8050    |   90.3854   |  56.3014  |   77.8819    |    0.0000  
   7     |     1     |  0.1818  |  9.8839  |  12.6853   |    90.3854    |   100.2692  |  77.7001  |   87.5840    |    0.0000  
   8     |     1     |  0.0425  |  2.7808  |  12.7278   |    100.2692   |   103.0500  |  87.5414  |   90.3222    |    0.0000  
   9     |     1     |  1.4944  | 14.2771  |  14.2222   |    103.0500   |   117.3271  |  88.8278  |   103.1049   |    0.0000  
   10    |     1     |  3.6896  | 13.4258  |  17.9118   |    117.3271   |   130.7529  |  99.4153  |   112.8411   |    0.0000  
   11    |     1     |  1.4129  |  0.2956  |  19.3248   |    130.7529   |   131.0485  |  111.4281 |   111.7238   |    0.0000  
   12    |     1     |  2.7633  | 10.8974  |  22.0881   |    131.0485   |   141.9460  |  108.9605 |   119.8579   |    0.0000  
   13    |     1     |  2.5015  |  9.5798  |  24.5896   |    141.9460   |   151.5258  |  117.3564 |   126.9362   |    0.0000  
   14    |     1     |  0.9572  |  0.3467  |  25.5468   |    151.5258   |   151.8725  |  125.9790 |   126.3257   |    0.0000  
   15    |     1     |  2.6408  | 15.1510  |  28.1876   |    151.8725   |   167.0235  |  123.6849 |   138.8359   |    0.0000  
   16    |     1     |  6.6252  | 11.1062  |  34.8128   |    167.0235   |   178.1297  |  132.2107 |   143.3169   |    0.0000  
   17    |     1     |  3.9727  |  6.2350  |  38.7855   |    178.1297   |   184.3647  |  139.3441 |   145.5792   |    0.0000  
   18    |     1     |  0.3917  | 11.7797  |  39.1772   |    184.3647   |   196.1443  |  145.1874 |   156.9671   |    0.0000  
   19    |     1     |  1.8611  |  1.1019  |  41.0383   |    196.1443   |   197.2462  |  155.1060 |   156.2079   |    0.0000  
   20    |     1     |  1.0176  |  6.3111  |  42.0560   |    197.2462   |   203.5573  |  155.1902 |   161.5013   |    0.0000  
   21    |     1     |  1.6468  |  9.8341  |  43.7028   |    203.5573   |   213.3914  |  159.8544 |   169.6886   |    0.0000  
   22    |     1     |  6.3628  | 14.6592  |  50.0656   |    213.3914   |   228.0506  |  163.3258 |   177.9850   |    0.0000  
   23    |     1     |  0.0666  |  3.8757  |  50.1322   |    228.0506   |   231.9263  |  177.9184 |   181.7940   |    0.0000  
   24    |     1     |  2.5443  |  3.6127  |  52.6766   |    231.9263   |   235.5390  |  179.2497 |   182.8624   |    0.0000  
   25    |     1     |  0.6927  |  4.7478  |  53.3693   |    235.5390   |   240.2868  |  182.1697 |   186.9175   |    0.0000  
   26    |     1     |  0.3008  |  9.9900  |  53.6700   |    240.2868   |   250.2768  |  186.6167 |   196.6067   |    0.0000  
   27    |     1     |  1.8742  |  9.3574  |  55.5442   |    250.2768   |   259.6342  |  194.7325 |   204.0899   |    0.0000  
